Column,Mean,Median,Maximum
Wifi_A,-41.77619047619048,-42.0,-39
Wifi_A,-45.06190476190476,-44.0,-38
Wifi_A,-44.16666666666666,-44.0,-41
Wifi_A,-34.86,-35.0,-33
Wifi_A,-39.833333333333336,-40.0,-37
Wifi_A,-37.9,-38.0,-33
Wifi_A,-39.55,-40.0,-35
Wifi_A,-33.9,-34.0,-30
Wifi_A,-21.116666666666667,-21.0,-19
Wifi_A,-38.71428571428572,-38.0,-34
Wifi_A,-42.18333333333333,-42.0,-35
Wifi_A,-38.266666666666666,-38.0,-34
Wifi_A,-34.85,-35.0,-32
Wifi_A,-29.316666666666663,-29.0,-27
Wifi_A,-29.183333333333334,-29.0,-20
Wifi_A,-39.81666666666667,-39.0,-35
Wifi_A,-33.88333333333333,-34.0,-30
Wifi_A,-35.833333333333336,-36.0,-33
Wifi_A,-33.95,-34.0,-33
Wifi_A,-32.56666666666667,-32.0,-29
Wifi_A,-36.23333333333333,-36.0,-34
Wifi_A,-42.45,-42.0,-37
Wifi_A,-38.73333333333333,-38.0,-35
Wifi_A,-37.833333333333336,-38.0,-34
Wifi_A,-38.65,-39.0,-34
Wifi_A,-43.78333333333333,-43.5,-40
Wifi_A,-43.91666666666666,-43.0,-42
Wifi_A,-39.41666666666666,-39.0,-37
Wifi_A,-36.61666666666667,-36.0,-32
Wifi_A,-43.833333333333336,-44.0,-40
Wifi_A,-41.44,-41.0,-38
Wifi_A,-43.77,-44.0,-37
Wifi_A,-44.016666666666666,-44.0,-39
Wifi_A,-36.88333333333333,-37.0,-34
Wifi_A,-40.48333333333333,-40.5,-36
Wifi_A,-42.3,-42.0,-39
Wifi_A,-43.98,-44.0,-36
Wifi_A,-41.36,-41.0,-38
Wifi_A,-47.63333333333333,-48.0,-39
Wifi_A,-41.15,-41.0,-36
Wifi_A,-41.516666666666666,-42.0,-39
Wifi_A,-48.13333333333333,-48.0,-41
