Column,Mean,Median,Maximum
Wifi_A_5G,-46.39523809523809,-46.0,-40
Wifi_A_5G,-48.22380952380952,-48.0,-42
Wifi_A_5G,-50.2,-52.0,-42
Wifi_A_5G,-49.86,-50.0,-45
Wifi_A_5G,-51.56666666666667,-52.0,-46
Wifi_A_5G,-48.85,-49.0,-42
Wifi_A_5G,-51.57,-52.0,-44
Wifi_A_5G,-32.38333333333333,-32.0,-31
Wifi_A_5G,-34.95,-35.0,-34
Wifi_A_5G,-46.27619047619048,-47.0,-31
Wifi_A_5G,-40.56666666666667,-41.0,-36
Wifi_A_5G,-48.2,-48.0,-42
Wifi_A_5G,-39.8,-39.0,-38
Wifi_A_5G,-38.56666666666667,-39.0,-34
Wifi_A_5G,-37.93333333333333,-38.0,-36
Wifi_A_5G,-51.833333333333336,-52.0,-45
Wifi_A_5G,-45.11666666666667,-45.0,-40
Wifi_A_5G,-44.333333333333336,-44.0,-40
Wifi_A_5G,-39.86666666666667,-40.0,-36
Wifi_A_5G,-35.083333333333336,-34.0,-33
Wifi_A_5G,-49.88333333333333,-50.0,-47
Wifi_A_5G,-43.016666666666666,-43.0,-38
Wifi_A_5G,-52.68333333333333,-53.0,-49
Wifi_A_5G,-45.16666666666666,-44.0,-41
Wifi_A_5G,-48.833333333333336,-49.0,-40
Wifi_A_5G,-46.833333333333336,-46.0,-41
Wifi_A_5G,-46.333333333333336,-46.0,-45
Wifi_A_5G,-50.75,-50.0,-49
Wifi_A_5G,-58.9,-59.0,-53
Wifi_A_5G,-43.48333333333333,-43.0,-41
Wifi_A_5G,-42.79,-43.0,-40
Wifi_A_5G,-50.38,-50.0,-46
Wifi_A_5G,-51.86666666666667,-52.0,-50
Wifi_A_5G,-56.2,-56.0,-51
Wifi_A_5G,-47.266666666666666,-47.0,-44
Wifi_A_5G,-50.23333333333333,-50.0,-47
Wifi_A_5G,-57.69,-59.0,-46
Wifi_A_5G,-52.81,-53.0,-45
Wifi_A_5G,-44.78333333333333,-45.0,-43
Wifi_A_5G,-48.25,-48.0,-45
Wifi_A_5G,-45.06666666666667,-45.0,-42
Wifi_A_5G,-52.71666666666667,-53.0,-49
