Column,Mean,Median,Maximum
Wifi_B,-25.25238095238096,-25.0,-21
Wifi_B,-36.2952380952381,-36.0,-33
Wifi_B,-31.383333333333333,-30.0,-26
Wifi_B,-37.13,-37.0,-27
Wifi_B,-31.916666666666668,-32.0,-29
Wifi_B,-31.2,-31.0,-27
Wifi_B,-45.6,-46.0,-38
Wifi_B,-33.5,-33.0,-29
Wifi_B,-38.16666666666666,-38.0,-35
Wifi_B,-25.63809523809524,-25.0,-20
Wifi_B,-35.65,-36.0,-32
Wifi_B,-35.1,-35.0,-31
Wifi_B,-38.46666666666667,-38.5,-33
Wifi_B,-30.7,-31.0,-26
Wifi_B,-42.016666666666666,-42.0,-39
Wifi_B,-36.4,-36.0,-33
Wifi_B,-38.96666666666667,-39.0,-32
Wifi_B,-39.23333333333333,-40.0,-34
Wifi_B,-51.71666666666667,-52.0,-44
Wifi_B,-38.083333333333336,-39.0,-29
Wifi_B,-38.266666666666666,-38.0,-25
Wifi_B,-40.23333333333333,-41.0,-37
Wifi_B,-46.91666666666666,-47.0,-40
Wifi_B,-36.68333333333333,-37.0,-32
Wifi_B,-38.083333333333336,-38.5,-34
Wifi_B,-38.66666666666666,-38.0,-33
Wifi_B,-48.833333333333336,-49.0,-41
Wifi_B,-39.85,-40.0,-34
Wifi_B,-39.16666666666666,-40.0,-33
Wifi_B,-38.65,-39.0,-35
Wifi_B,-41.51,-41.0,-38
Wifi_B,-41.99,-42.0,-37
Wifi_B,-44.18333333333333,-44.0,-40
Wifi_B,-49.86666666666667,-50.0,-44
Wifi_B,-41.0,-41.0,-37
Wifi_B,-44.55,-45.0,-38
Wifi_B,-39.94,-40.0,-36
Wifi_B,-45.93,-46.0,-36
Wifi_B,-45.38333333333333,-45.0,-42
Wifi_B,-39.25,-39.0,-36
Wifi_B,-47.7,-48.0,-40
Wifi_B,-48.63333333333333,-49.0,-43
