Column,Mean,Median,Maximum
Wifi_B_5G,-49.45238095238095,-50.0,-39
Wifi_B_5G,-49.67142857142857,-49.0,-42
Wifi_B_5G,-47.06666666666667,-47.0,-42
Wifi_B_5G,-45.83,-46.0,-40
Wifi_B_5G,-51.43333333333333,-52.0,-47
Wifi_B_5G,-40.78,-41.0,-39
Wifi_B_5G,-49.73,-50.0,-43
Wifi_B_5G,-47.333333333333336,-47.0,-44
Wifi_B_5G,-50.583333333333336,-51.0,-49
Wifi_B_5G,-33.44285714285714,-33.0,-19
Wifi_B_5G,-38.31666666666667,-38.0,-35
Wifi_B_5G,-44.65,-44.0,-39
Wifi_B_5G,-52.766666666666666,-53.0,-50
Wifi_B_5G,-49.266666666666666,-49.0,-44
Wifi_B_5G,-51.55,-51.0,-49
Wifi_B_5G,-53.43333333333333,-54.0,-43
Wifi_B_5G,-49.93333333333333,-50.0,-46
Wifi_B_5G,-48.18333333333333,-48.0,-44
Wifi_B_5G,-51.41666666666666,-52.0,-46
Wifi_B_5G,-53.66666666666666,-54.0,-52
Wifi_B_5G,-43.516666666666666,-43.0,-39
Wifi_B_5G,-42.78333333333333,-42.0,-38
Wifi_B_5G,-43.93333333333333,-44.0,-40
Wifi_B_5G,-49.28333333333333,-49.0,-48
Wifi_B_5G,-51.11666666666667,-51.0,-46
Wifi_B_5G,-47.31666666666667,-47.0,-45
Wifi_B_5G,-55.25,-54.0,-52
Wifi_B_5G,-49.25,-49.0,-44
Wifi_B_5G,-40.13333333333333,-40.0,-37
Wifi_B_5G,-56.15,-56.0,-50
Wifi_B_5G,-51.85,-51.0,-48
Wifi_B_5G,-45.29,-45.0,-42
Wifi_B_5G,-55.86666666666667,-56.0,-49
Wifi_B_5G,-48.28333333333333,-48.5,-44
Wifi_B_5G,-50.71666666666667,-51.0,-47
Wifi_B_5G,-52.9,-53.0,-46
Wifi_B_5G,-43.12,-43.0,-41
Wifi_B_5G,-51.99,-52.0,-49
Wifi_B_5G,-45.05,-45.0,-43
Wifi_B_5G,-50.06666666666667,-50.0,-47
Wifi_B_5G,-44.48333333333333,-44.0,-43
Wifi_B_5G,-45.55,-45.0,-43
