Column,Mean,Median,Maximum
Wifi_C,-39.50952380952381,-39.0,-38
Wifi_C,-42.28095238095238,-42.0,-34
Wifi_C,-43.083333333333336,-43.0,-39
Wifi_C,-45.85,-46.0,-38
Wifi_C,-47.35,-46.0,-42
Wifi_C,-43.43,-43.0,-40
Wifi_C,-37.97,-38.0,-34
Wifi_C,-48.583333333333336,-48.0,-46
Wifi_C,-46.5,-46.0,-41
Wifi_C,-43.68571428571428,-44.0,-38
Wifi_C,-46.81666666666667,-47.0,-38
Wifi_C,-43.516666666666666,-44.0,-40
Wifi_C,-43.266666666666666,-43.0,-40
Wifi_C,-45.68333333333333,-45.0,-37
Wifi_C,-45.833333333333336,-45.0,-42
Wifi_C,-39.28333333333333,-39.5,-36
Wifi_C,-39.21666666666667,-39.0,-33
Wifi_C,-39.85,-40.0,-36
Wifi_C,-36.833333333333336,-36.0,-35
Wifi_C,-42.21666666666667,-43.0,-33
Wifi_C,-36.28333333333333,-36.0,-35
Wifi_C,-37.75,-38.0,-34
Wifi_C,-40.25,-40.0,-36
Wifi_C,-36.333333333333336,-36.0,-32
Wifi_C,-38.31666666666667,-38.0,-35
Wifi_C,-43.8,-44.0,-35
Wifi_C,-37.083333333333336,-37.0,-34
Wifi_C,-32.65,-33.0,-31
Wifi_C,-33.583333333333336,-33.0,-32
Wifi_C,-42.36666666666667,-43.0,-38
Wifi_C,-41.25,-41.0,-38
Wifi_C,-45.38,-45.0,-41
Wifi_C,-37.61666666666667,-38.0,-34
Wifi_C,-41.18333333333333,-41.0,-37
Wifi_C,-35.916666666666664,-36.0,-34
Wifi_C,-35.11666666666667,-35.0,-33
Wifi_C,-41.57,-42.0,-34
Wifi_C,-39.6,-40.0,-31
Wifi_C,-39.9,-40.0,-35
Wifi_C,-39.11666666666667,-39.0,-36
Wifi_C,-34.05,-34.0,-29
Wifi_C,-30.1,-30.0,-27
