Column,Mean,Median,Maximum
Wifi_C_5G,-50.5,-51.0,-45
Wifi_C_5G,-52.56190476190476,-53.0,-45
Wifi_C_5G,-53.75,-53.0,-50
Wifi_C_5G,-50.66,-51.0,-46
Wifi_C_5G,-49.833333333333336,-50.0,-47
Wifi_C_5G,-53.76,-54.0,-50
Wifi_C_5G,-49.72,-50.0,-45
Wifi_C_5G,-51.2,-51.0,-50
Wifi_C_5G,-53.91666666666666,-53.0,-52
Wifi_C_5G,-54.7952380952381,-55.0,-48
Wifi_C_5G,-55.083333333333336,-55.0,-47
Wifi_C_5G,-49.88333333333333,-50.0,-47
Wifi_C_5G,-53.96666666666667,-54.0,-50
Wifi_C_5G,-52.38333333333333,-52.0,-51
Wifi_C_5G,-53.4,-54.0,-52
Wifi_C_5G,-52.766666666666666,-53.0,-47
Wifi_C_5G,-47.833333333333336,-48.0,-46
Wifi_C_5G,-53.016666666666666,-52.5,-51
Wifi_C_5G,-51.083333333333336,-51.0,-49
Wifi_C_5G,-51.35,-51.0,-49
Wifi_C_5G,-51.45,-52.0,-45
Wifi_C_5G,-41.03333333333333,-41.0,-39
Wifi_C_5G,-51.28333333333333,-51.0,-45
Wifi_C_5G,-45.38333333333333,-45.0,-43
Wifi_C_5G,-52.78333333333333,-53.0,-51
Wifi_C_5G,-50.61666666666667,-51.0,-49
Wifi_C_5G,-53.56666666666667,-53.5,-51
Wifi_C_5G,-50.15,-50.0,-46
Wifi_C_5G,-51.05,-51.0,-49
Wifi_C_5G,-52.833333333333336,-53.0,-50
Wifi_C_5G,-42.67,-42.0,-39
Wifi_C_5G,-53.3,-52.0,-49
Wifi_C_5G,-51.083333333333336,-51.0,-48
Wifi_C_5G,-45.516666666666666,-45.0,-43
Wifi_C_5G,-41.98333333333333,-42.0,-40
Wifi_C_5G,-40.1,-40.0,-38
Wifi_C_5G,-50.36,-50.0,-42
Wifi_C_5G,-45.43,-45.0,-42
Wifi_C_5G,-46.86666666666667,-47.0,-41
Wifi_C_5G,-53.016666666666666,-53.0,-49
Wifi_C_5G,-42.38333333333333,-42.0,-40
Wifi_C_5G,-47.75,-47.0,-41
