Column,Mean,Median,Maximum
Wifi_D,-50.91904761904762,-51.0,-47
Wifi_D,-43.766666666666666,-44.0,-38
Wifi_D,-43.9,-44.0,-38
Wifi_D,-42.57,-43.0,-38
Wifi_D,-46.03333333333333,-46.0,-42
Wifi_D,-45.46,-45.0,-41
Wifi_D,-43.64,-44.0,-40
Wifi_D,-41.61666666666667,-42.0,-38
Wifi_D,-43.46666666666667,-43.0,-40
Wifi_D,-45.73333333333333,-45.0,-40
Wifi_D,-40.73333333333333,-41.0,-36
Wifi_D,-41.98333333333333,-42.0,-35
Wifi_D,-47.06666666666667,-47.0,-41
Wifi_D,-49.73333333333333,-50.0,-41
Wifi_D,-48.73333333333333,-49.0,-38
Wifi_D,-48.88333333333333,-48.0,-43
Wifi_D,-43.0,-43.0,-36
Wifi_D,-41.23333333333333,-42.0,-37
Wifi_D,-43.18333333333333,-43.0,-34
Wifi_D,-39.11666666666667,-39.0,-35
Wifi_D,-38.81666666666667,-39.0,-35
Wifi_D,-39.63333333333333,-39.0,-36
Wifi_D,-43.96666666666667,-45.0,-36
Wifi_D,-45.23333333333333,-45.0,-33
Wifi_D,-44.53333333333333,-44.0,-40
Wifi_D,-38.2,-38.0,-35
Wifi_D,-46.16666666666666,-46.0,-43
Wifi_D,-39.93333333333333,-40.0,-31
Wifi_D,-42.766666666666666,-42.5,-39
Wifi_D,-42.75,-43.0,-38
Wifi_D,-49.08,-49.0,-41
Wifi_D,-42.57,-43.0,-38
Wifi_D,-38.13333333333333,-38.0,-34
Wifi_D,-38.41666666666666,-38.0,-32
Wifi_D,-44.03333333333333,-44.0,-40
Wifi_D,-46.3,-46.0,-39
Wifi_D,-38.25,-38.0,-33
Wifi_D,-35.21,-34.0,-29
Wifi_D,-43.7,-44.0,-35
Wifi_D,-37.65,-38.0,-33
Wifi_D,-46.66666666666666,-47.0,-40
Wifi_D,-42.46666666666667,-43.0,-39
