Column,Mean,Median,Maximum
Wifi_D_5G,-50.54761904761905,-50.0,-46
Wifi_D_5G,-44.47619047619048,-44.0,-40
Wifi_D_5G,-50.35,-50.0,-43
Wifi_D_5G,-50.69,-51.0,-44
Wifi_D_5G,-49.56666666666667,-49.0,-48
Wifi_D_5G,-50.13,-50.0,-47
Wifi_D_5G,-49.21,-49.0,-44
Wifi_D_5G,-47.71666666666667,-48.0,-41
Wifi_D_5G,-49.56666666666667,-50.0,-44
Wifi_D_5G,-48.78095238095238,-49.0,-44
Wifi_D_5G,-57.2,-57.0,-48
Wifi_D_5G,-50.38333333333333,-50.0,-43
Wifi_D_5G,-61.2,-62.0,-52
Wifi_D_5G,-49.6,-49.0,-47
Wifi_D_5G,-51.95,-51.0,-43
Wifi_D_5G,-54.7,-55.0,-47
Wifi_D_5G,-52.98333333333333,-53.0,-49
Wifi_D_5G,-43.6,-43.0,-41
Wifi_D_5G,-43.43333333333333,-44.0,-41
Wifi_D_5G,-51.7,-52.0,-48
Wifi_D_5G,-48.03333333333333,-48.0,-40
Wifi_D_5G,-55.1,-55.0,-48
Wifi_D_5G,-41.71666666666667,-39.0,-38
Wifi_D_5G,-49.68333333333333,-50.0,-47
Wifi_D_5G,-48.15,-48.0,-44
Wifi_D_5G,-46.13333333333333,-46.0,-41
Wifi_D_5G,-49.266666666666666,-49.0,-47
Wifi_D_5G,-47.48333333333333,-47.0,-46
Wifi_D_5G,-45.583333333333336,-46.0,-43
Wifi_D_5G,-55.63333333333333,-56.0,-47
Wifi_D_5G,-37.45,-37.5,-34
Wifi_D_5G,-45.94,-45.0,-41
Wifi_D_5G,-40.56666666666667,-40.0,-37
Wifi_D_5G,-45.9,-46.0,-43
Wifi_D_5G,-48.71666666666667,-48.0,-46
Wifi_D_5G,-42.55,-42.0,-39
Wifi_D_5G,-43.04,-43.0,-35
Wifi_D_5G,-36.45,-36.0,-34
Wifi_D_5G,-40.9,-40.0,-36
Wifi_D_5G,-44.21666666666667,-44.0,-42
Wifi_D_5G,-49.48333333333333,-50.0,-43
Wifi_D_5G,-49.8,-51.0,-35
