Column,Mean,Median,Maximum
Wifi_A,-39.10476190476191,-39.0,-37
Wifi_A,-40.18,-40.0,-35
Wifi_A,-39.29,-39.0,-37
Wifi_A,-44.35,-44.0,-36
Wifi_A,-29.16,-29.0,-27
Wifi_A,-19.87,-20.0,-18
Wifi_A,-43.88095238095238,-44.0,-39
Wifi_A,-45.16,-45.0,-31
Wifi_A,-49.78,-50.0,-45
Wifi_A,-35.34,-35.0,-34
Wifi_A,-35.86,-36.0,-28
Wifi_A,-33.77,-34.0,-28
Wifi_A,-29.24,-29.0,-26
Wifi_A,-43.77,-44.0,-41
Wifi_A,-35.48,-36.0,-22
Wifi_A,-37.43,-37.0,-35
Wifi_A,-38.72,-39.0,-34
Wifi_A,-34.59,-35.0,-29
Wifi_A,-42.3,-42.0,-38
Wifi_A,-38.29,-38.0,-34
Wifi_A,-42.96,-43.0,-39
Wifi_A,-37.14,-37.0,-32
Wifi_A,-32.45,-32.0,-31
Wifi_A,-44.73,-45.0,-39
Wifi_A,-44.19,-44.0,-41
Wifi_A,-44.57,-45.0,-40
Wifi_A,-39.39,-39.0,-38
Wifi_A,-40.52,-41.0,-37
Wifi_A,-47.1,-47.0,-40
Wifi_A,-47.26,-48.0,-42
Wifi_A,-44.0,-44.0,-39
Wifi_A,-38.71,-39.0,-33
Wifi_A,-38.57,-39.0,-35
Wifi_A,-39.99,-40.0,-35
Wifi_A,-40.15,-40.0,-37
Wifi_A,-39.9,-40.0,-38
Wifi_A,-41.49,-42.0,-38
Wifi_A,-42.12,-42.0,-39
Wifi_A,-47.6,-48.0,-42
Wifi_A,-40.57,-40.0,-38
