Column,Mean,Median,Maximum
Wifi_A_5G,-46.647619047619045,-46.0,-40
Wifi_A_5G,-47.22,-48.0,-39
Wifi_A_5G,-44.36,-44.0,-41
Wifi_A_5G,-52.07,-52.0,-47
Wifi_A_5G,-39.24,-39.0,-31
Wifi_A_5G,-30.59,-31.0,-29
Wifi_A_5G,-47.71428571428572,-49.0,-40
Wifi_A_5G,-42.35,-42.0,-34
Wifi_A_5G,-42.36,-42.0,-41
Wifi_A_5G,-49.79,-50.0,-47
Wifi_A_5G,-40.35,-41.0,-34
Wifi_A_5G,-42.66,-43.0,-38
Wifi_A_5G,-39.98,-40.0,-30
Wifi_A_5G,-43.96,-44.0,-41
Wifi_A_5G,-45.91,-46.0,-38
Wifi_A_5G,-43.26,-43.0,-39
Wifi_A_5G,-45.34,-45.0,-41
Wifi_A_5G,-31.49,-31.0,-28
Wifi_A_5G,-53.01,-53.0,-49
Wifi_A_5G,-44.52,-45.0,-42
Wifi_A_5G,-43.5,-44.0,-37
Wifi_A_5G,-46.32,-46.0,-42
Wifi_A_5G,-39.96,-40.0,-35
Wifi_A_5G,-45.98,-46.0,-41
Wifi_A_5G,-46.8,-47.0,-44
Wifi_A_5G,-47.93,-48.0,-43
Wifi_A_5G,-47.62,-48.0,-44
Wifi_A_5G,-42.57,-43.0,-40
Wifi_A_5G,-44.34,-44.0,-42
Wifi_A_5G,-46.53,-46.5,-43
Wifi_A_5G,-51.7,-52.0,-48
Wifi_A_5G,-50.31,-50.0,-47
Wifi_A_5G,-48.21,-48.0,-44
Wifi_A_5G,-50.83,-51.0,-49
Wifi_A_5G,-47.35,-47.0,-45
Wifi_A_5G,-47.22,-47.0,-44
Wifi_A_5G,-46.51,-46.0,-44
Wifi_A_5G,-51.01,-51.0,-47
Wifi_A_5G,-48.19,-48.0,-44
Wifi_A_5G,-48.1,-48.0,-44
