Column,Mean,Median,Maximum
Wifi_B,-25.10952380952381,-25.0,-18
Wifi_B,-26.93,-27.0,-18
Wifi_B,-34.97,-35.0,-31
Wifi_B,-38.59,-39.0,-35
Wifi_B,-39.73,-40.0,-28
Wifi_B,-25.06,-27.0,-12
Wifi_B,-24.080952380952382,-24.0,-17
Wifi_B,-29.97,-29.0,-28
Wifi_B,-35.69,-36.0,-30
Wifi_B,-26.63,-26.0,-24
Wifi_B,-33.77,-34.0,-29
Wifi_B,-34.36,-35.0,-28
Wifi_B,-39.69,-40.0,-33
Wifi_B,-37.6,-38.0,-19
Wifi_B,-43.34,-43.0,-41
Wifi_B,-33.64,-34.0,-30
Wifi_B,-36.08,-36.0,-30
Wifi_B,-32.82,-33.0,-28
Wifi_B,-35.01,-35.0,-16
Wifi_B,-36.7,-37.0,-31
Wifi_B,-41.75,-42.0,-37
Wifi_B,-36.97,-37.0,-33
Wifi_B,-36.93,-37.0,-30
Wifi_B,-42.71,-43.0,-38
Wifi_B,-48.44,-49.0,-44
Wifi_B,-36.79,-37.0,-34
Wifi_B,-42.17,-43.0,-25
Wifi_B,-41.15,-41.0,-36
Wifi_B,-37.52,-37.0,-36
Wifi_B,-44.41,-45.0,-41
Wifi_B,-42.18,-42.0,-38
Wifi_B,-37.87,-38.0,-32
Wifi_B,-39.95,-41.0,-33
Wifi_B,-38.99,-39.0,-35
Wifi_B,-42.07,-42.0,-37
Wifi_B,-48.55,-49.0,-38
Wifi_B,-44.48,-45.0,-39
Wifi_B,-44.5,-45.0,-38
Wifi_B,-40.79,-41.0,-36
Wifi_B,-44.8,-45.0,-38
