Column,Mean,Median,Maximum
Wifi_B_5G,-43.819047619047616,-45.0,-34
Wifi_B_5G,-33.95,-32.0,-29
Wifi_B_5G,-43.2,-43.0,-40
Wifi_B_5G,-42.96,-43.0,-41
Wifi_B_5G,-44.53,-45.0,-42
Wifi_B_5G,-43.93,-44.0,-38
Wifi_B_5G,-26.52380952380953,-27.0,-21
Wifi_B_5G,-39.68,-40.0,-35
Wifi_B_5G,-39.5,-40.0,-31
Wifi_B_5G,-38.8,-39.0,-32
Wifi_B_5G,-44.0,-44.0,-42
Wifi_B_5G,-47.37,-47.0,-45
Wifi_B_5G,-48.85,-49.0,-44
Wifi_B_5G,-46.52,-47.0,-40
Wifi_B_5G,-43.23,-43.0,-39
Wifi_B_5G,-42.31,-42.5,-38
Wifi_B_5G,-46.01,-46.0,-45
Wifi_B_5G,-49.24,-49.0,-45
Wifi_B_5G,-35.24,-35.0,-32
Wifi_B_5G,-41.51,-42.0,-35
Wifi_B_5G,-45.29,-45.0,-42
Wifi_B_5G,-45.43,-45.0,-44
Wifi_B_5G,-50.19,-50.0,-47
Wifi_B_5G,-43.48,-43.0,-39
Wifi_B_5G,-43.88,-44.0,-41
Wifi_B_5G,-47.46,-48.0,-36
Wifi_B_5G,-49.67,-50.0,-45
Wifi_B_5G,-50.48,-51.0,-48
Wifi_B_5G,-52.24,-52.0,-49
Wifi_B_5G,-44.49,-45.0,-41
Wifi_B_5G,-48.01,-48.0,-45
Wifi_B_5G,-45.13,-45.0,-43
Wifi_B_5G,-49.07,-49.0,-46
Wifi_B_5G,-42.21,-42.0,-35
Wifi_B_5G,-42.73,-43.0,-40
Wifi_B_5G,-43.72,-44.0,-40
Wifi_B_5G,-45.66,-45.0,-41
Wifi_B_5G,-49.3,-49.0,-48
Wifi_B_5G,-47.23,-47.0,-42
Wifi_B_5G,-46.06,-46.0,-43
