Column,Mean,Median,Maximum
Wifi_C,-43.91904761904762,-44.0,-36
Wifi_C,-45.2,-46.0,-37
Wifi_C,-36.09,-37.0,-29
Wifi_C,-35.48,-36.0,-32
Wifi_C,-43.85,-44.0,-40
Wifi_C,-43.15,-43.0,-40
Wifi_C,-40.023809523809526,-40.0,-34
Wifi_C,-44.0,-45.0,-38
Wifi_C,-49.61,-50.0,-39
Wifi_C,-45.61,-46.0,-40
Wifi_C,-45.04,-45.0,-7
Wifi_C,-42.19,-42.0,-38
Wifi_C,-46.65,-47.0,-41
Wifi_C,-46.3,-47.0,-41
Wifi_C,-39.74,-39.0,-26
Wifi_C,-41.38,-42.0,-32
Wifi_C,-49.73,-50.0,-42
Wifi_C,-45.95,-46.0,-43
Wifi_C,-37.31,-37.0,-31
Wifi_C,-40.78,-41.0,-35
Wifi_C,-43.24,-43.0,-39
Wifi_C,-42.49,-42.5,-38
Wifi_C,-38.74,-39.0,-29
Wifi_C,-44.05,-44.0,-38
Wifi_C,-34.02,-34.0,-29
Wifi_C,-39.5,-40.0,-34
Wifi_C,-44.96,-45.0,-38
Wifi_C,-43.64,-44.0,-34
Wifi_C,-47.24,-47.5,-34
Wifi_C,-43.03,-43.0,-35
Wifi_C,-32.54,-32.0,-29
Wifi_C,-30.39,-30.0,-27
Wifi_C,-36.92,-37.0,-32
Wifi_C,-35.24,-36.0,-30
Wifi_C,-50.13,-50.0,-41
Wifi_C,-43.55,-44.0,-30
Wifi_C,-39.52,-40.0,-36
Wifi_C,-29.47,-29.0,-28
Wifi_C,-34.32,-35.0,-27
Wifi_C,-31.76,-31.0,-26
