Column,Mean,Median,Maximum
Wifi_C_5G,-49.50952380952381,-50.0,-45
Wifi_C_5G,-47.8,-48.0,-44
Wifi_C_5G,-51.66,-52.0,-49
Wifi_C_5G,-48.01,-48.0,-46
Wifi_C_5G,-48.1,-48.0,-47
Wifi_C_5G,-49.91,-50.0,-49
Wifi_C_5G,-48.47619047619048,-49.0,-44
Wifi_C_5G,-49.64,-50.0,-45
Wifi_C_5G,-50.73,-50.0,-44
Wifi_C_5G,-47.38,-47.0,-45
Wifi_C_5G,-52.64,-53.0,-47
Wifi_C_5G,-53.49,-54.0,-51
Wifi_C_5G,-50.53,-50.0,-46
Wifi_C_5G,-50.52,-51.0,-47
Wifi_C_5G,-47.44,-47.0,-46
Wifi_C_5G,-53.28,-53.0,-50
Wifi_C_5G,-57.35,-58.0,-51
Wifi_C_5G,-49.71,-50.0,-47
Wifi_C_5G,-53.23,-53.0,-47
Wifi_C_5G,-43.78,-44.0,-40
Wifi_C_5G,-48.63,-49.0,-46
Wifi_C_5G,-54.85,-55.0,-50
Wifi_C_5G,-47.92,-48.0,-46
Wifi_C_5G,-49.25,-49.0,-46
Wifi_C_5G,-47.39,-48.0,-42
Wifi_C_5G,-40.84,-41.0,-35
Wifi_C_5G,-45.6,-45.0,-43
Wifi_C_5G,-53.34,-54.0,-45
Wifi_C_5G,-48.43,-48.0,-46
Wifi_C_5G,-47.49,-47.5,-42
Wifi_C_5G,-46.17,-46.0,-42
Wifi_C_5G,-41.48,-42.0,-35
Wifi_C_5G,-49.23,-49.0,-43
Wifi_C_5G,-50.84,-51.0,-47
Wifi_C_5G,-49.94,-50.0,-45
Wifi_C_5G,-48.96,-49.0,-45
Wifi_C_5G,-44.08,-44.0,-40
Wifi_C_5G,-44.67,-45.0,-42
Wifi_C_5G,-40.11,-41.0,-31
Wifi_C_5G,-39.5,-40.0,-30
