Column,Mean,Median,Maximum
Wifi_D,-46.18571428571428,-46.0,-40
Wifi_D,-42.02,-43.0,-34
Wifi_D,-33.76,-34.0,-29
Wifi_D,-37.28,-38.0,-31
Wifi_D,-48.19,-48.0,-37
Wifi_D,-46.4,-46.0,-43
Wifi_D,-51.36666666666667,-52.0,-41
Wifi_D,-42.13,-42.0,-38
Wifi_D,-43.27,-43.0,-40
Wifi_D,-44.45,-45.0,-40
Wifi_D,-45.32,-45.0,-40
Wifi_D,-44.6,-45.0,-38
Wifi_D,-36.91,-36.0,-33
Wifi_D,-44.21,-44.0,-39
Wifi_D,-44.12,-44.0,-40
Wifi_D,-42.38,-42.0,-39
Wifi_D,-42.72,-42.0,-39
Wifi_D,-34.64,-35.0,-32
Wifi_D,-43.14,-43.0,-32
Wifi_D,-43.62,-44.0,-39
Wifi_D,-40.19,-40.0,-36
Wifi_D,-48.15,-48.0,-42
Wifi_D,-42.43,-43.0,-37
Wifi_D,-39.81,-39.0,-34
Wifi_D,-43.04,-43.0,-33
Wifi_D,-40.81,-41.0,-36
Wifi_D,-37.83,-38.0,-35
Wifi_D,-42.55,-43.0,-31
Wifi_D,-39.97,-40.0,-35
Wifi_D,-39.25,-39.0,-35
Wifi_D,-38.79,-38.0,-27
Wifi_D,-38.52,-38.0,-34
Wifi_D,-35.62,-36.0,-28
Wifi_D,-41.34,-42.0,-33
Wifi_D,-27.53,-28.0,-25
Wifi_D,-37.4,-37.0,-34
Wifi_D,-41.89,-42.0,-30
Wifi_D,-37.34,-37.0,-27
Wifi_D,-39.64,-39.0,-32
Wifi_D,-34.18,-33.0,-30
