Column,Mean,Median,Maximum
Wifi_D_5G,-52.00476190476191,-53.0,-46
Wifi_D_5G,-47.32,-47.5,-41
Wifi_D_5G,-45.38,-45.0,-44
Wifi_D_5G,-46.08,-46.0,-44
Wifi_D_5G,-53.69,-54.0,-49
Wifi_D_5G,-46.36,-46.0,-43
Wifi_D_5G,-47.77619047619048,-48.0,-45
Wifi_D_5G,-48.79,-49.0,-41
Wifi_D_5G,-51.38,-51.0,-48
Wifi_D_5G,-47.48,-47.0,-44
Wifi_D_5G,-54.34,-55.0,-46
Wifi_D_5G,-53.8,-54.0,-47
Wifi_D_5G,-45.81,-45.0,-44
Wifi_D_5G,-49.01,-49.0,-46
Wifi_D_5G,-47.52,-47.0,-46
Wifi_D_5G,-53.49,-54.0,-50
Wifi_D_5G,-45.27,-45.0,-43
Wifi_D_5G,-50.57,-50.0,-48
Wifi_D_5G,-44.86,-44.0,-41
Wifi_D_5G,-50.23,-50.0,-47
Wifi_D_5G,-43.18,-43.0,-38
Wifi_D_5G,-46.41,-46.0,-45
Wifi_D_5G,-52.65,-53.0,-48
Wifi_D_5G,-47.19,-47.0,-37
Wifi_D_5G,-46.86,-47.0,-45
Wifi_D_5G,-43.29,-43.0,-40
Wifi_D_5G,-46.41,-46.0,-44
Wifi_D_5G,-46.25,-46.0,-45
Wifi_D_5G,-44.33,-45.0,-40
Wifi_D_5G,-45.73,-46.0,-42
Wifi_D_5G,-41.85,-41.0,-34
Wifi_D_5G,-47.63,-47.5,-45
Wifi_D_5G,-48.11,-48.0,-46
Wifi_D_5G,-48.0,-48.0,-45
Wifi_D_5G,-38.14,-39.0,-30
Wifi_D_5G,-45.18,-45.0,-40
Wifi_D_5G,-49.38,-50.0,-44
Wifi_D_5G,-49.72,-50.0,-45
Wifi_D_5G,-49.95,-50.0,-44
Wifi_D_5G,-45.1,-45.0,-34
