Column,Mean,Median,Maximum
Wifi_A,-41.70334852277,-41.83831541190023,-38.24623683197455
Wifi_A,-44.90549535773954,-44.55567092091383,-40.256591650328765
Wifi_A,-44.46503797629043,-44.36623847413554,-41.353639621026986
Wifi_A,-35.13094251221143,-35.246548232325665,-32.261619131251784
Wifi_A,-39.42415472492243,-39.47742272621194,-34.540155452440764
Wifi_A,-38.52926225415622,-38.54596660734357,-35.506658658803495
Wifi_A,-39.59310647505037,-39.50513647922971,-37.21672634355084
Wifi_A,-33.97487381189087,-33.68220989210831,-30.860433660231948
Wifi_A,-21.222620507518936,-21.156901888738705,-18.59745403008475
Wifi_A,-38.69751232826061,-38.4023560333106,-35.266523550593675
Wifi_A,-45.50599319614899,-45.23696899494786,-40.38694492843123
Wifi_A,-42.641386983063136,-42.26483123478324,-39.43026416683061
Wifi_A,-38.75748205694057,-38.62409847887852,-35.75586049745675
Wifi_A,-34.71836119632632,-34.71496747107739,-32.348190117346675
Wifi_A,-29.06862362031624,-28.938534609558488,-26.65663966123972
Wifi_A,-28.80021694300485,-28.721390531066994,-26.7947355254411
Wifi_A,-40.04628027014257,-39.42943708298682,-36.40802431178648
Wifi_A,-34.04249849406991,-33.96557264222186,-28.964070680271924
Wifi_A,-35.60242936194427,-35.38187830037846,-32.36135319832844
Wifi_A,-34.29875052895057,-34.31431451987757,-31.338007271321285
Wifi_A,-32.41549644412897,-32.28751693084661,-29.09573162139869
Wifi_A,-36.913665388846326,-36.9743413999936,-33.33350184128378
Wifi_A,-42.88904732381321,-42.67418205281066,-39.65230812935433
Wifi_A,-38.17305497038456,-38.31210576271072,-34.3214652581375
Wifi_A,-37.99658525179145,-38.25213866823408,-35.250944280619215
Wifi_A,-38.20142424777208,-38.31287332114976,-34.737201477943
Wifi_A,-43.875350254454354,-43.70898036818613,-40.0
Wifi_A,-43.99069394368183,-44.11484923902023,-40.51634514508387
Wifi_A,-40.12552073561346,-39.94962433832829,-38.006624199585495
Wifi_A,-36.024769762561995,-35.3249356544812,-31.689726187854752
Wifi_A,-43.90001373318956,-43.778237813795485,-39.43050143593428
Wifi_A,-41.14086059601058,-40.91254451302602,-38.47995418064456
Wifi_A,-43.76740261903196,-43.74376031521957,-40.46961279621218
Wifi_A,-43.90411521153332,-43.90417399146967,-41.39710204709694
Wifi_A,-36.31808784440503,-36.449875592115646,-33.13517165553897
Wifi_A,-40.31374464749793,-39.82296826549658,-37.83056041205487
Wifi_A,-42.29793249282054,-42.29549635086882,-38.368445209433744
Wifi_A,-43.76685268923071,-43.996726031928986,-36.0
Wifi_A,-41.62590897225469,-41.49926980745679,-37.93790202206301
Wifi_A,-47.92431824749991,-47.94474435742245,-43.51202882961911
Wifi_A,-41.20534712886979,-41.149562180988354,-38.67315963480042
Wifi_A,-41.91089576147718,-41.524806575282014,-38.77651319814191
Wifi_A,-47.528626844091306,-47.92942744328878,-42.94517415427775
