Column,Mean,Median,Maximum
Wifi_A_5G,-46.11701012164552,-45.85583522400783,-41.56450236952614
Wifi_A_5G,-48.20287910320104,-48.04799306335054,-42.9639719843985
Wifi_A_5G,-50.434396403058834,-51.76669182177761,-41.22101243814989
Wifi_A_5G,-49.760543426043306,-49.86995872030473,-46.12735673914335
Wifi_A_5G,-51.42521498390605,-51.5840883229192,-46.3729870660818
Wifi_A_5G,-49.32780474813818,-49.37405632950932,-44.268063962407446
Wifi_A_5G,-52.06417855600371,-52.0506647831352,-47.18696803930629
Wifi_A_5G,-32.490768787848,-32.555225805684444,-30.34039108583292
Wifi_A_5G,-35.10018205902504,-34.64013804819851,-32.768799662592606
Wifi_A_5G,-46.49421700862097,-47.25843472325727,-33.27675521693688
Wifi_A_5G,-47.61185656014511,-47.496070163099816,-43.58040844843526
Wifi_A_5G,-39.63158622834206,-39.71072893852092,-36.0
Wifi_A_5G,-48.63709363713578,-48.52155149534274,-45.38845853859463
Wifi_A_5G,-39.56495925159283,-39.54347348604808,-36.064739535807774
Wifi_A_5G,-38.171310763100585,-38.262229996668665,-35.70198620035421
Wifi_A_5G,-37.61572954640417,-37.59329152538797,-34.289481631213924
Wifi_A_5G,-51.72376900344432,-51.77286790753536,-49.45716335089544
Wifi_A_5G,-44.6019366137866,-44.59217523339925,-41.938843015198415
Wifi_A_5G,-44.69549043697017,-44.17384902616485,-41.53922079866491
Wifi_A_5G,-39.68170095798996,-39.79191708375646,-36.637651093602784
Wifi_A_5G,-36.62748688914567,-34.64073944555106,-31.71156694411068
Wifi_A_5G,-50.09316293661733,-49.98698600595661,-46.553275171035175
Wifi_A_5G,-42.4352940779532,-42.50659728331432,-38.0
Wifi_A_5G,-52.810668701927945,-52.91054778578257,-49.0
Wifi_A_5G,-45.04386487841886,-44.61167714953018,-41.69368643291999
Wifi_A_5G,-48.75837181212302,-48.39217711050832,-40.0
Wifi_A_5G,-46.81301623479291,-46.45022512874421,-40.7557518878459
Wifi_A_5G,-46.51913894632055,-46.56259406896119,-43.192611051005215
Wifi_A_5G,-50.115728618146974,-49.75214588540531,-47.38044517543673
Wifi_A_5G,-58.621427068971904,-59.01730737550108,-53.034681478342456
Wifi_A_5G,-43.60234015144768,-43.14389800250029,-39.37794314627343
Wifi_A_5G,-42.7840733730584,-42.671950472341535,-39.442802775859626
Wifi_A_5G,-50.25576930113333,-50.22387632791137,-45.58800835895387
Wifi_A_5G,-51.84536053306703,-52.16741352641991,-48.06631045527075
Wifi_A_5G,-56.64558054521438,-57.04883411121246,-50.457440040490056
Wifi_A_5G,-47.04139840257336,-47.23474508453022,-43.67990758293645
Wifi_A_5G,-50.3746823595009,-50.590972979939934,-47.09640777385272
Wifi_A_5G,-57.38607364454334,-58.16139839295816,-50.52707139461137
Wifi_A_5G,-52.88268572905404,-52.90169735620693,-46.09130125428389
Wifi_A_5G,-44.47398135923556,-44.59023615224449,-42.24315378575522
Wifi_A_5G,-48.63802884915487,-48.91070030020525,-45.082355282783936
Wifi_A_5G,-44.92894794550679,-44.67629220726822,-41.961259936678886
Wifi_A_5G,-52.87055238348865,-52.638705814954854,-50.61464797723326
