Column,Mean,Median,Maximum
Wifi_B,-25.252291471367105,-25.12919239531748,-21.455169563919178
Wifi_B,-36.25589021880413,-36.04179073862616,-32.46246097805415
Wifi_B,-32.18753614609881,-30.82734934653861,-28.412150637739344
Wifi_B,-36.685764219899085,-37.00297141088701,-31.0
Wifi_B,-32.11849020048577,-32.351036927365215,-29.14053110781624
Wifi_B,-31.112983813787693,-31.188168124677425,-26.828925463886847
Wifi_B,-45.57067301466618,-45.73068966863788,-41.0
Wifi_B,-33.27410007831079,-33.16555067747291,-29.994255984359764
Wifi_B,-37.87145703747915,-37.70901150414362,-34.83809724676361
Wifi_B,-25.4525185646844,-25.00383352150981,-20.39356403798862
Wifi_B,-28.63150715435878,-28.50805464759051,-25.410998408953105
Wifi_B,-35.49935728733145,-35.63243090525202,-31.655912929863334
Wifi_B,-35.176510700609654,-35.02400319275402,-32.00897272113108
Wifi_B,-38.821692819538775,-38.78575924315402,-35.5222372889614
Wifi_B,-30.64723613029256,-30.644207370450665,-28.054692174979326
Wifi_B,-41.50238437680073,-41.33269935269339,-38.996698659546624
Wifi_B,-36.20651503934512,-36.15475171577229,-32.63427192445555
Wifi_B,-38.953314045193245,-39.12194061828632,-35.57385348734184
Wifi_B,-39.06052359603639,-39.19440057968794,-35.1079246600491
Wifi_B,-51.75844303778615,-52.26191401596669,-43.62398833480501
Wifi_B,-38.01138942731359,-38.17714218427139,-31.92692514734048
Wifi_B,-37.71151761181069,-38.00608700770098,-30.774504807205403
Wifi_B,-39.507164785667534,-39.66404581521944,-36.22031064588064
Wifi_B,-46.61576914829377,-46.40736730753903,-42.55467819587666
Wifi_B,-36.79110964732268,-37.04905720302752,-34.40257257964805
Wifi_B,-38.33445695084739,-38.5752832452602,-34.06078719113905
Wifi_B,-38.898633863277375,-38.698019012860215,-35.93767904745819
Wifi_B,-48.440097947338096,-48.59737345233744,-44.07930105457827
Wifi_B,-39.6449671070777,-39.74849429818855,-36.2449716918881
Wifi_B,-38.91612796361073,-38.9316045383039,-35.24003469070392
Wifi_B,-39.21119259110795,-39.2267004170291,-35.975876262534975
Wifi_B,-41.3308125370509,-41.08634211254608,-36.52600195947629
Wifi_B,-41.77720800228053,-41.34038755838182,-38.28874229972917
Wifi_B,-44.01238912048765,-44.13462708961441,-40.67047097479848
Wifi_B,-50.19736593615281,-50.60958152086785,-46.53069153718022
Wifi_B,-41.23784636795543,-41.440872460849405,-37.0
Wifi_B,-44.98775204567807,-44.9587611054295,-41.07182156450829
Wifi_B,-40.03486567282765,-40.00752601290377,-34.89501728555469
Wifi_B,-46.12585087176701,-46.17193007868673,-40.31180366655286
Wifi_B,-45.79811530481993,-45.93614007267706,-42.92195264252776
Wifi_B,-39.64019391944999,-39.608131546512354,-36.52103978138664
Wifi_B,-48.21343968454885,-48.13418299856872,-43.6648353821627
Wifi_B,-48.342116483386455,-48.14994309847185,-43.43416148401474
