Column,Mean,Median,Maximum
Wifi_B_5G,-49.3705236492225,-49.76381657093573,-40.48634668624355
Wifi_B_5G,-50.051128059156994,-49.61691840155957,-45.54889486821244
Wifi_B_5G,-46.99396094008976,-46.83611576231088,-42.718451057231405
Wifi_B_5G,-46.05248372103684,-46.08414833635376,-42.85314066933505
Wifi_B_5G,-51.36993633648775,-51.847230332450565,-45.77181953106873
Wifi_B_5G,-40.441640998608406,-40.50372973865545,-36.77821837632246
Wifi_B_5G,-50.05605268824318,-49.98647003779067,-46.22483765020197
Wifi_B_5G,-47.40830848518378,-47.603142449297366,-44.57663138847444
Wifi_B_5G,-50.65399048411157,-50.42666257874036,-48.33286162548963
Wifi_B_5G,-33.38445604803979,-33.36976385886524,-28.19738439705656
Wifi_B_5G,-37.18277429810625,-37.33686187906848,-33.63890292177502
Wifi_B_5G,-38.67005516925877,-38.622553447198,-35.59209326985054
Wifi_B_5G,-44.5243775440391,-44.39209162285481,-39.87307822982049
Wifi_B_5G,-52.826230750520494,-53.02825160396219,-50.12981722499135
Wifi_B_5G,-49.29468780256487,-48.97104591004445,-46.19892044426293
Wifi_B_5G,-50.94238098694818,-51.22370203977172,-47.37753833523709
Wifi_B_5G,-53.28401510367885,-53.94220051358222,-45.24071983266008
Wifi_B_5G,-50.16113509459827,-49.89926696374687,-47.613632230256464
Wifi_B_5G,-48.36935472943799,-48.70753790584867,-44.945438219082696
Wifi_B_5G,-51.07753029640799,-51.14495136568554,-45.62108540401543
Wifi_B_5G,-53.408964677053774,-53.32497115034551,-51.61413970724524
Wifi_B_5G,-43.59512123625215,-43.58496387825494,-39.91289259453973
Wifi_B_5G,-42.41476049141322,-41.78681138609561,-39.90183015457919
Wifi_B_5G,-44.28312597658148,-44.225116237049306,-41.18511849272997
Wifi_B_5G,-49.4244462094352,-49.6208209680282,-44.908283671572406
Wifi_B_5G,-51.434910972162,-51.54705814453743,-48.68147548535037
Wifi_B_5G,-46.84538343111793,-46.79217304971549,-43.63796102436791
Wifi_B_5G,-55.39667015949146,-54.96990971068871,-51.99933907122042
Wifi_B_5G,-49.6776356002001,-49.403104206011335,-45.672718634144
Wifi_B_5G,-40.30584688443888,-40.178391930638256,-37.31138490096119
Wifi_B_5G,-56.19093263343054,-56.27292782018404,-49.85541077558072
Wifi_B_5G,-51.68497406830696,-51.274246570487136,-47.01736077961041
Wifi_B_5G,-45.43178795808832,-45.440972764811605,-42.12740693920129
Wifi_B_5G,-55.96980156592448,-56.49707304845984,-49.46034912532981
Wifi_B_5G,-48.38540158438512,-48.53984862573324,-45.58737586710794
Wifi_B_5G,-50.5633683924864,-50.40277010589158,-47.96727755985566
Wifi_B_5G,-53.2565399736292,-53.39451127054046,-45.42702040428966
Wifi_B_5G,-42.96939423414231,-42.893944732159305,-40.31438136495098
Wifi_B_5G,-52.31367487093342,-52.35744841475594,-47.91314465092932
Wifi_B_5G,-45.14489164194833,-45.13079473923808,-42.21282044718967
Wifi_B_5G,-49.80123664307856,-49.84561614816769,-45.99162615215678
Wifi_B_5G,-44.83703829855152,-44.8974339823028,-42.46436717909006
Wifi_B_5G,-46.44473704201377,-45.92915493059209,-43.326065943899295
