Column,Mean,Median,Maximum
Wifi_C,-39.163350706974406,-39.18227303146348,-35.80858851931759
Wifi_C,-42.38988651913642,-41.93788262705319,-37.79573204030988
Wifi_C,-43.179835619847054,-43.317221841465056,-38.13351849454745
Wifi_C,-45.77814024066011,-45.73654609290086,-42.30237231167138
Wifi_C,-47.063824572854735,-46.42038110044805,-42.92056324990076
Wifi_C,-43.58367980627568,-43.44993497097515,-39.88120728108536
Wifi_C,-37.92399950694468,-37.905701470496055,-33.866194423519026
Wifi_C,-48.74948553593583,-48.60441167555993,-46.322667807849314
Wifi_C,-46.487711266678254,-46.28536922848657,-43.66602015876726
Wifi_C,-43.9814875412226,-44.07661581037696,-39.464918456548425
Wifi_C,-38.70128741068714,-38.569120864045246,-35.2235327097341
Wifi_C,-46.63120216099355,-46.75092049951392,-41.57550531490363
Wifi_C,-43.65639068161365,-43.88482414231051,-38.79044843596737
Wifi_C,-43.64916068010562,-43.55710193183815,-41.67976983435003
Wifi_C,-45.41471624583207,-45.10504238562376,-41.38393423569613
Wifi_C,-46.25530645050635,-46.24698013484689,-43.0
Wifi_C,-39.2697032057024,-39.56653579248728,-35.298720202300984
Wifi_C,-38.65342157931792,-38.372054477898615,-34.646854634400995
Wifi_C,-40.67417722915662,-40.85960308961262,-36.729472440402006
Wifi_C,-37.12797727547166,-36.64091338442783,-34.34619017513996
Wifi_C,-42.57829302629121,-42.7704396747965,-38.0
Wifi_C,-35.82061198725013,-35.68692567911384,-33.168951749430065
Wifi_C,-37.95034570765369,-37.98672849684008,-35.301072968138456
Wifi_C,-40.70423143918224,-40.43743269540026,-37.8139617724932
Wifi_C,-36.43142771686394,-36.57990667862817,-34.23419978435469
Wifi_C,-38.053757096613,-38.17347811377918,-35.36375940649969
Wifi_C,-43.61128232559707,-43.24300396437289,-40.22725270866229
Wifi_C,-37.33938504102112,-37.5271399667926,-34.11041137007489
Wifi_C,-32.384535105019346,-32.5474264898142,-28.30630144188872
Wifi_C,-34.02616981034149,-34.2451931632652,-30.972608569350733
Wifi_C,-41.998117173371405,-42.05034527287172,-37.23543952293584
Wifi_C,-41.52564977134823,-41.508296782106505,-37.89660443001628
Wifi_C,-45.47204734064107,-45.563871245328656,-40.98047854590722
Wifi_C,-37.5430781803776,-37.47036501855384,-34.93962845176824
Wifi_C,-41.38043583292151,-41.32671667633758,-37.82347123357355
Wifi_C,-36.04677857343847,-36.05636037836048,-32.71986420069255
Wifi_C,-34.80961759856773,-34.79992757133325,-32.58698932572088
Wifi_C,-41.967965082479,-41.97847163329506,-37.4381057118935
Wifi_C,-39.89634732078801,-39.76115907926293,-34.6563070806138
Wifi_C,-39.861028274365296,-39.86377754178673,-34.62409836464939
Wifi_C,-39.10760415633575,-39.05214878238706,-36.52409708258934
Wifi_C,-33.737944680505336,-33.95132896787662,-29.0
Wifi_C,-30.15125991391998,-30.110952602605554,-27.169280314572863
