Column,Mean,Median,Maximum
Wifi_C_5G,-50.2934998797826,-50.33397184284036,-45.15707433595928
Wifi_C_5G,-52.69988814077748,-52.86581418463554,-46.45082256532523
Wifi_C_5G,-54.13180825671245,-52.98467437642309,-50.39289583502735
Wifi_C_5G,-50.424622514396745,-50.47845398744069,-47.77253488450214
Wifi_C_5G,-50.21452869547878,-50.22987424679314,-48.19452774204419
Wifi_C_5G,-53.82611342923117,-53.75300294191585,-50.10537185642009
Wifi_C_5G,-49.4995599798994,-49.42175054103977,-47.142795323639625
Wifi_C_5G,-52.057194379348886,-52.05818180486761,-49.02907491455981
Wifi_C_5G,-53.68290882220861,-53.33286680567349,-48.63959336612202
Wifi_C_5G,-55.13083568048511,-55.470631048866025,-48.13078246051583
Wifi_C_5G,-47.30231901556317,-46.980819956370105,-43.02004192079957
Wifi_C_5G,-54.75097754476669,-54.95881833643047,-50.379081041579
Wifi_C_5G,-49.54974101276772,-49.560429171533045,-46.94787139243199
Wifi_C_5G,-54.440866901830255,-54.53364406101056,-50.284629259454114
Wifi_C_5G,-51.97768768588946,-51.94266176282919,-49.31221639823509
Wifi_C_5G,-53.48010492096641,-53.38858759543403,-51.35444075580757
Wifi_C_5G,-53.2771494105623,-53.06053226621584,-51.31121105582697
Wifi_C_5G,-48.10931027280172,-47.8484755424207,-44.53299752056933
Wifi_C_5G,-52.69798849433734,-52.40959307606148,-49.77281843848145
Wifi_C_5G,-51.38314847130695,-51.15391054273829,-48.287466909454125
Wifi_C_5G,-51.11908794439167,-51.00090779323541,-48.55307072842545
Wifi_C_5G,-51.25836102486669,-51.32034215948884,-47.61714000746598
Wifi_C_5G,-41.19356825348356,-41.16989535251776,-38.72940764144316
Wifi_C_5G,-51.74046934467798,-51.88873922903524,-47.337030667067786
Wifi_C_5G,-45.51448553947101,-45.61423842931055,-42.33460572424457
Wifi_C_5G,-52.44477128756067,-52.498803714679184,-49.04607141261773
Wifi_C_5G,-50.69289911366861,-50.90024742964391,-47.919397118841815
Wifi_C_5G,-53.8319455253256,-53.688460099150376,-51.1141239715679
Wifi_C_5G,-49.8986000526291,-49.91020591293816,-47.93562974138719
Wifi_C_5G,-50.78778161568088,-50.83100561401128,-47.7988549811878
Wifi_C_5G,-52.2710169527908,-52.27851882903025,-49.90931279078367
Wifi_C_5G,-42.84820313955786,-42.61176753480761,-40.04858970069964
Wifi_C_5G,-53.32261531679482,-53.03439472410399,-49.75815871410168
Wifi_C_5G,-51.58234252876911,-51.87723310656602,-47.48203514912972
Wifi_C_5G,-45.82370325057297,-45.925806790278,-41.65369670158763
Wifi_C_5G,-42.5568981236231,-42.57997491645139,-40.0
Wifi_C_5G,-40.06287553859533,-40.2110178019721,-36.96115823317369
Wifi_C_5G,-50.60117140738359,-50.33906677574932,-45.87982705815794
Wifi_C_5G,-44.92517057838714,-44.8913519950293,-41.87997632808877
Wifi_C_5G,-47.11283450269456,-46.76334209714096,-43.22990240217043
Wifi_C_5G,-53.00906505080197,-53.09338022454057,-48.93869829325441
Wifi_C_5G,-42.19039528873604,-42.05173218419596,-39.05311079548493
Wifi_C_5G,-47.21258827075518,-46.66109534959092,-42.0
