Column,Mean,Median,Maximum
Wifi_D,-50.6390196056897,-50.53382050369928,-45.77936717255256
Wifi_D,-43.82656257782909,-43.944310774248606,-39.9240711060808
Wifi_D,-44.2240901605849,-44.13508061667602,-39.93501014319694
Wifi_D,-42.50083302696283,-42.46510784477945,-38.63956743409828
Wifi_D,-46.18063985602321,-45.91276633862775,-42.061123203158985
Wifi_D,-45.812297987137136,-45.72675075190448,-42.35090684338018
Wifi_D,-43.419252876460575,-43.40252079531064,-40.55238638009096
Wifi_D,-41.50077360124058,-41.37325382374334,-38.22296586308818
Wifi_D,-43.48117601396192,-43.5453038871553,-38.97853122088739
Wifi_D,-45.76209066335527,-45.611603916582666,-41.60401914227212
Wifi_D,-41.3608895540203,-41.290785936937965,-36.48521747766845
Wifi_D,-40.66902276289468,-40.95608201455762,-36.23083069224156
Wifi_D,-41.60016260881102,-41.51503172043025,-38.21772771953477
Wifi_D,-47.12387038147524,-47.13112127289321,-44.39367429521783
Wifi_D,-49.46566175282729,-49.99640863565067,-44.28836293848008
Wifi_D,-48.93331007223025,-48.7708430248,-45.59698377350185
Wifi_D,-49.36032758294186,-48.86794793319319,-44.53194459750885
Wifi_D,-43.27874168570545,-43.01638105088757,-40.87449260983372
Wifi_D,-41.3047866403432,-41.56665415220917,-36.730483492326776
Wifi_D,-43.41871366173337,-43.73222283961074,-38.79895255090223
Wifi_D,-38.839962133013735,-38.80764819044998,-36.21520099021826
Wifi_D,-38.45191816179498,-38.4032802948488,-35.002830671416255
Wifi_D,-40.40139324791634,-40.186385005759874,-36.485078889686136
Wifi_D,-43.8043962566932,-44.44684549853831,-36.0
Wifi_D,-45.014098879922535,-45.49221017689485,-39.89485518471312
Wifi_D,-45.18366470023356,-44.72904545890376,-41.275713554801285
Wifi_D,-38.03037878267432,-37.936753802808845,-34.26431649217432
Wifi_D,-45.7396643885745,-45.81540871129572,-42.93270688211968
Wifi_D,-40.09576498216404,-40.143408146040905,-36.0
Wifi_D,-42.99866528474367,-42.52990452022786,-39.84198677875942
Wifi_D,-42.9629877076487,-43.1102871922557,-38.611635405734205
Wifi_D,-48.91955476400848,-49.20429155634688,-41.57554281895679
Wifi_D,-42.60155701515004,-42.896993879914525,-37.60483911902253
Wifi_D,-38.74987141796461,-38.5329698904559,-35.12755012125908
Wifi_D,-38.33795933552051,-37.907599907842446,-35.29728444700482
Wifi_D,-43.48470466642024,-43.76793244285008,-39.82547069579911
Wifi_D,-46.13918857429736,-46.30215040250255,-40.39244818561845
Wifi_D,-38.380314839966616,-38.31041419784265,-34.75824388791563
Wifi_D,-34.99797464323171,-34.63681060012351,-29.0
Wifi_D,-43.636440263980255,-44.16217096825992,-35.0
Wifi_D,-37.65075334722596,-37.52589497244215,-35.05246306844012
Wifi_D,-47.33832422379911,-47.58256829456975,-43.06453035754608
Wifi_D,-41.96700369875133,-42.11605195601607,-38.65794522379496
