Column,Mean,Median,Maximum
Wifi_D_5G,-50.65182158098124,-50.69351029208542,-47.4869015442327
Wifi_D_5G,-44.48487989308361,-44.49422155826261,-40.53855547038765
Wifi_D_5G,-50.711302708326585,-50.67890930018346,-47.35877624083617
Wifi_D_5G,-50.31786537716565,-50.404261814484485,-44.77924839959121
Wifi_D_5G,-49.49212686404191,-49.23897754786629,-45.91644608488455
Wifi_D_5G,-50.31225441108413,-50.27909236220399,-46.949176192969496
Wifi_D_5G,-49.263550566490565,-49.232415360699,-45.220190843191816
Wifi_D_5G,-47.52446961830199,-47.76737480870911,-42.062210107794975
Wifi_D_5G,-49.513999739157576,-49.4187481935395,-44.0
Wifi_D_5G,-48.82964961632568,-48.937408119786,-42.70980783892139
Wifi_D_5G,-48.03436621568192,-47.81998482705318,-43.6898602930408
Wifi_D_5G,-56.82664100098028,-56.88374873791369,-52.94778172879264
Wifi_D_5G,-50.566921743826605,-50.14408335240429,-47.698986389575325
Wifi_D_5G,-61.49167858829273,-62.030970244688376,-54.21512243648831
Wifi_D_5G,-49.784354846714834,-49.54646292998902,-46.8366690268041
Wifi_D_5G,-51.80104437780484,-51.34639949483147,-47.21318548918961
Wifi_D_5G,-54.66551795007595,-54.575676016509945,-51.34552836741932
Wifi_D_5G,-52.8429345335795,-52.84789886335032,-49.877462314757466
Wifi_D_5G,-43.71587704517898,-43.69904802534759,-38.43343572120508
Wifi_D_5G,-44.0694234822537,-44.35197687177636,-40.96338880265286
Wifi_D_5G,-51.57975565359926,-51.48413343228998,-47.734886817138566
Wifi_D_5G,-48.879408450926725,-48.72321798555737,-45.585229398057145
Wifi_D_5G,-55.475530082655446,-55.33584730743449,-49.81995208309042
Wifi_D_5G,-42.35592926541703,-40.11394074650615,-36.14284734942358
Wifi_D_5G,-49.94502998676847,-49.97429909927637,-45.89586549160492
Wifi_D_5G,-48.19248299775715,-47.78100558174311,-45.04927293034677
Wifi_D_5G,-46.71106343376016,-46.51995625168589,-43.56971936834218
Wifi_D_5G,-49.52222826516321,-49.40590125624109,-47.66549204396481
Wifi_D_5G,-47.80938151802415,-47.722405725535424,-44.98946947137496
Wifi_D_5G,-45.6795125840509,-45.90017507847844,-41.65638103860013
Wifi_D_5G,-55.40663976480532,-55.980815460649424,-45.61895252251628
Wifi_D_5G,-37.28957949554098,-37.147371713853815,-34.38686473147693
Wifi_D_5G,-45.66303349575874,-44.987563436349504,-40.52068306579156
Wifi_D_5G,-40.86542864652946,-40.54355603610831,-37.769876740052666
Wifi_D_5G,-45.76389242984828,-45.6387906969651,-42.31298722725708
Wifi_D_5G,-48.45443936642011,-48.10416428108646,-45.28030813253873
Wifi_D_5G,-42.54502264472648,-42.15233569420472,-38.51780297027873
Wifi_D_5G,-43.251823378460216,-43.28639142375445,-39.1081287669608
Wifi_D_5G,-36.47592893442804,-36.165583057060886,-33.06199962263188
Wifi_D_5G,-41.32466828711352,-41.13531777032321,-36.966078466523406
Wifi_D_5G,-44.30612446556811,-44.29971646858053,-41.598758572685455
Wifi_D_5G,-49.46283135841018,-49.84292061314545,-44.722706825622005
Wifi_D_5G,-49.63636536693752,-50.468404108845476,-37.74056213298315
