Column,Mean,Median,Maximum
Wifi_A,-39.03331748847581,-38.989890168502285,-35.06688420220628
Wifi_A,-40.53840174930696,-40.64167015367822,-35.652945590440325
Wifi_A,-39.37703400245665,-39.422566507736335,-36.41498023581186
Wifi_A,-44.17131395138077,-43.88638944168063,-39.546953686928944
Wifi_A,-29.75282981008345,-29.75112690987823,-26.918744118044543
Wifi_A,-19.804337883931872,-19.83244721569647,-16.981587056771705
Wifi_A,-43.88878801915492,-43.80404032288852,-38.47542674465454
Wifi_A,-44.08452641696821,-44.24897347430212,-38.970043087606165
Wifi_A,-45.145901067027246,-45.20308130742039,-39.0
Wifi_A,-50.01446327834937,-50.37868771372091,-44.79231574331857
Wifi_A,-35.341167490328615,-35.18075672735175,-32.72049115539435
Wifi_A,-36.03117755606952,-36.09042534782403,-32.81265774594173
Wifi_A,-33.11726295043374,-33.07717052245833,-30.751641217284305
Wifi_A,-28.73922778511933,-28.86871472882035,-24.840692675170686
Wifi_A,-43.76736152416604,-43.82887122217659,-40.79811837980106
Wifi_A,-35.374744165954695,-35.50752193153174,-30.64538550882704
Wifi_A,-37.61497810664044,-37.42840780461689,-34.574653556848176
Wifi_A,-38.45731018895162,-38.66118867864575,-33.56442278622609
Wifi_A,-34.19309131030361,-34.15675812988432,-31.75238543920521
Wifi_A,-42.21220855553889,-42.24826874654024,-37.52071585663152
Wifi_A,-38.38468510006182,-38.4232148786912,-35.11609459323932
Wifi_A,-43.11282384850428,-43.086949320954346,-40.0781744046493
Wifi_A,-37.4456121537161,-37.547371374865,-34.221766501271034
Wifi_A,-32.95402721980415,-33.054787882996465,-29.16164556638924
Wifi_A,-44.49112113791902,-44.41793247378693,-41.24319729633682
Wifi_A,-44.22587668910408,-44.16760483446826,-41.79954771378298
Wifi_A,-44.365417702712485,-44.34409314796058,-39.72037226151792
Wifi_A,-39.39048380706879,-39.34159495104843,-35.85696491150202
Wifi_A,-40.41896814455354,-40.42953616538544,-37.47545250260169
Wifi_A,-47.31791464994638,-47.28558062446501,-43.53314854608452
Wifi_A,-47.14282142777397,-46.88179918293277,-43.34717923442784
Wifi_A,-44.20978794713121,-44.35418504821069,-38.18095718808079
Wifi_A,-38.72766765389868,-38.64908189925363,-35.97617365037005
Wifi_A,-38.37757101569084,-38.47952767297559,-35.697381688139
Wifi_A,-39.823005182433214,-39.651299579690026,-36.52745413790215
Wifi_A,-40.22007136807171,-40.29273858990858,-37.42567906431768
Wifi_A,-40.16804228624515,-40.25919494091763,-37.15496825291431
Wifi_A,-41.580952115245694,-41.68593529835971,-38.20150422004089
Wifi_A,-42.4137209588602,-42.2262200484883,-39.2383165412132
Wifi_A,-47.637092585253306,-47.633860392061536,-43.11609802694387
Wifi_A,-40.52266047165995,-40.58047636638615,-37.07252715307588
