Column,Mean,Median,Maximum
Wifi_A_5G,-46.43901257624709,-46.16285502688905,-40.74554022339508
Wifi_A_5G,-46.90085071590936,-47.34173320894146,-41.19875795728787
Wifi_A_5G,-44.539548864071214,-44.75526532245775,-41.57169005349759
Wifi_A_5G,-52.33110006395733,-52.54703153303005,-49.20671665093425
Wifi_A_5G,-38.873081450076285,-39.08564642441303,-32.0
Wifi_A_5G,-30.45018245777912,-30.74874613910907,-27.532219468260017
Wifi_A_5G,-47.39842005636331,-47.655642674707096,-41.12282959542858
Wifi_A_5G,-49.0509009481822,-48.94228487345997,-45.60867457179312
Wifi_A_5G,-42.75434048894431,-42.189106556726266,-39.19230989758728
Wifi_A_5G,-42.31672924274535,-42.36232673634954,-39.20578687218135
Wifi_A_5G,-49.78954684985917,-49.66410377852255,-47.151798644420936
Wifi_A_5G,-40.15975825732561,-40.09874822178742,-37.67415405003513
Wifi_A_5G,-42.33776993057453,-42.446041621971816,-37.21283608265064
Wifi_A_5G,-39.74532555147517,-39.942387687752166,-32.96112117003393
Wifi_A_5G,-44.451305273647264,-44.43376331113159,-40.74895239216531
Wifi_A_5G,-45.63922860613566,-45.4569494558941,-42.11766776502786
Wifi_A_5G,-43.37577214664462,-43.45014724724091,-40.0
Wifi_A_5G,-45.60124315072026,-45.50130171593076,-41.949256223715125
Wifi_A_5G,-31.531543136428777,-31.55816012306749,-28.489834335728894
Wifi_A_5G,-52.777432743813605,-52.73249198291668,-47.75452823922956
Wifi_A_5G,-44.36516932548432,-44.42778459159539,-40.50249784886442
Wifi_A_5G,-43.46783698207023,-43.79059551846085,-37.62493355256918
Wifi_A_5G,-46.60117062388079,-46.42484035564112,-43.43961816198155
Wifi_A_5G,-40.009461129159256,-40.1006280616869,-37.05148603227463
Wifi_A_5G,-45.81071763867697,-45.75537518895774,-42.475567627996696
Wifi_A_5G,-46.66867138585752,-46.58285549090191,-44.195507251074815
Wifi_A_5G,-48.21906175026227,-48.10765652869106,-45.36277077612997
Wifi_A_5G,-47.597725308736415,-47.67988771983497,-43.76479379620845
Wifi_A_5G,-42.63113885550206,-42.42958612746127,-39.47829755588756
Wifi_A_5G,-44.26664042878983,-44.335533274695486,-40.32068294310578
Wifi_A_5G,-46.16540856113682,-46.13792997026416,-43.22539269001496
Wifi_A_5G,-51.84849574497476,-51.85724618997838,-49.0
Wifi_A_5G,-50.393730123852976,-50.19127580453869,-47.75593480105944
Wifi_A_5G,-48.15522807436356,-48.10477917432191,-45.149586489130286
Wifi_A_5G,-51.03869893116046,-50.99196306275135,-48.41166722337929
Wifi_A_5G,-47.43687715055599,-47.228538982016936,-43.70004384062175
Wifi_A_5G,-47.50118674918959,-47.35720873645313,-44.35798513178001
Wifi_A_5G,-46.50141755761163,-46.6326073632568,-42.60024194319054
Wifi_A_5G,-51.22799470596399,-51.43031807694776,-47.13152700280894
Wifi_A_5G,-47.84823613969437,-47.82952401089069,-44.52517726505181
Wifi_A_5G,-48.09674889046676,-48.04970786956072,-45.4815651737363
