Column,Mean,Median,Maximum
Wifi_B,-25.196197340304643,-25.05933114349332,-18.77851417043162
Wifi_B,-26.38239474695565,-26.368373374312995,-20.18995501097476
Wifi_B,-34.717640237839774,-34.93512473513964,-31.53286880170013
Wifi_B,-38.67775656419232,-38.490990324808415,-34.758640597680404
Wifi_B,-39.867145200013326,-40.16117939286181,-33.24475329786912
Wifi_B,-25.021660483991283,-25.111074122923508,-18.31025365409308
Wifi_B,-24.24189828434418,-24.1787996728548,-18.34472200148625
Wifi_B,-27.85946051204114,-27.84960364178653,-25.28039476230163
Wifi_B,-30.369454561184856,-30.055621566926035,-27.56077491248617
Wifi_B,-35.142577666763664,-35.25571282226155,-30.0
Wifi_B,-26.95865787941977,-27.156470483639097,-22.403855069046177
Wifi_B,-33.98156435440053,-33.99794754060648,-31.31608262888446
Wifi_B,-34.441596876821954,-34.436746866989765,-29.31366529925664
Wifi_B,-39.407404446082246,-39.32100647931471,-35.23843255567972
Wifi_B,-37.92001686036104,-38.11605928872074,-30.07905189973666
Wifi_B,-43.71258670564515,-43.700631072796526,-40.49776083997139
Wifi_B,-33.70245126468785,-33.74063917444421,-30.533799324002697
Wifi_B,-35.983866420879224,-36.0352565450936,-32.57565154334907
Wifi_B,-32.945578192343035,-32.73119269958611,-29.882867444773986
Wifi_B,-35.140661686016536,-35.16796996851055,-28.79198301584108
Wifi_B,-36.85706021574991,-36.782179680514375,-33.837617276433775
Wifi_B,-42.163571257609455,-42.19520835187748,-39.95574526750357
Wifi_B,-36.55959587468372,-36.7656526835469,-33.0
Wifi_B,-36.77285567276841,-36.90961241423056,-33.477636516712934
Wifi_B,-42.666447128911216,-42.776748689163895,-38.17859522214584
Wifi_B,-48.64397405837405,-48.68501293514169,-45.0
Wifi_B,-36.61247648662686,-36.74995899637983,-33.411594190523466
Wifi_B,-42.23710641695315,-42.50050767033687,-35.95443013411771
Wifi_B,-41.26057426009265,-41.2508630696872,-37.86732929088724
Wifi_B,-37.16810691250525,-37.05758150402839,-34.35052522144739
Wifi_B,-44.3743707357828,-44.390026435235335,-41.07250136525868
Wifi_B,-42.46194661238863,-42.53056454488721,-39.10894461753435
Wifi_B,-38.10073496024632,-38.30057493759607,-35.029653923881575
Wifi_B,-39.9016832776085,-39.8044915727878,-35.429831204882014
Wifi_B,-38.76807958719588,-38.776003430702936,-35.68183037354802
Wifi_B,-41.81983770238975,-41.69728867827054,-38.77248254148444
Wifi_B,-48.35420234400145,-48.55135690616575,-38.0
Wifi_B,-44.453923751264114,-44.32898307878044,-40.93665327353705
Wifi_B,-44.30362889081579,-44.49288284345992,-39.820574629562046
Wifi_B,-40.55818108266057,-40.48050620484277,-37.30337516341843
Wifi_B,-44.51725013588686,-44.42313635020673,-40.282506502316274
