Column,Mean,Median,Maximum
Wifi_B_5G,-44.03204470369961,-44.52224645705997,-36.64665135120742
Wifi_B_5G,-34.18732308587796,-32.83581715101799,-28.45450458486028
Wifi_B_5G,-42.8295856687789,-42.867061305892825,-39.61366658696869
Wifi_B_5G,-42.77839541048053,-42.62271500918216,-39.95497346654356
Wifi_B_5G,-44.60121329561933,-44.71927428829598,-40.85024068462162
Wifi_B_5G,-43.66909212013639,-43.63638791637688,-40.78370270843351
Wifi_B_5G,-26.538388147515715,-26.69339916524038,-22.12447342121544
Wifi_B_5G,-28.04064476429164,-28.01013048627428,-25.67346627862976
Wifi_B_5G,-40.08235698211939,-39.780645008927344,-37.09341342815648
Wifi_B_5G,-39.42037233759871,-39.60606057310541,-34.667335379657366
Wifi_B_5G,-39.35975129863071,-39.29734477844687,-34.967281218937295
Wifi_B_5G,-44.330445035930296,-44.422115424200186,-40.07398691425808
Wifi_B_5G,-47.72691800177094,-47.6207784195399,-44.035113539294414
Wifi_B_5G,-49.29874457144989,-49.34965938484966,-45.68344074498007
Wifi_B_5G,-46.511093039039785,-46.58428654868476,-43.89513258115325
Wifi_B_5G,-42.81378948850098,-42.69700012401718,-39.0
Wifi_B_5G,-42.3163583500286,-42.38421539141662,-38.53446017535402
Wifi_B_5G,-46.13113739615368,-46.18723590426063,-43.945718894831145
Wifi_B_5G,-49.002114301322365,-49.14944132490175,-45.06078416148676
Wifi_B_5G,-35.36871962640421,-35.27358543416184,-32.0455459970806
Wifi_B_5G,-41.67559954149939,-41.66899649054952,-38.65710456119709
Wifi_B_5G,-45.555791107704245,-45.329327797750565,-42.77131569974437
Wifi_B_5G,-45.13157094125551,-45.21448646267776,-42.13599754153368
Wifi_B_5G,-50.187789325331885,-50.263058973715474,-47.393082216197065
Wifi_B_5G,-43.81114808988657,-43.64080774252023,-40.18950366129808
Wifi_B_5G,-44.023248194612144,-44.04643744945214,-40.59605345936404
Wifi_B_5G,-47.32522139034887,-47.52226168245659,-40.82178218069544
Wifi_B_5G,-49.76204058413045,-49.93622206627136,-44.28627460242278
Wifi_B_5G,-50.67151034818887,-50.55067133107883,-48.00774876652375
Wifi_B_5G,-52.26040953248295,-52.32777210441988,-48.57727148565074
Wifi_B_5G,-44.4951501034573,-44.39884966052821,-41.722046697907146
Wifi_B_5G,-47.9967255843864,-47.95235904877964,-45.01457277657597
Wifi_B_5G,-45.31498060022513,-45.24346132200198,-42.73877403864521
Wifi_B_5G,-49.28604629948784,-49.08986745909893,-45.35391120405765
Wifi_B_5G,-42.18565428400587,-42.2040897950484,-36.45366263469965
Wifi_B_5G,-42.63704949496696,-42.7268388512206,-37.750965893453305
Wifi_B_5G,-43.85473620320231,-43.66536069015402,-40.38050719137285
Wifi_B_5G,-45.07893707657564,-45.10116845847404,-41.54216166364656
Wifi_B_5G,-49.23133095735484,-49.10376519933679,-46.429133880548925
Wifi_B_5G,-46.6284998227335,-46.79662523768779,-40.5219849097401
Wifi_B_5G,-46.053639475932115,-45.836690527397465,-43.09266710121436
