Column,Mean,Median,Maximum
Wifi_C,-44.01130803751529,-44.151385939642,-37.87568654569715
Wifi_C,-45.33180443479276,-45.47634918405777,-39.0
Wifi_C,-35.966344796004655,-36.08547388315063,-32.253349660510096
Wifi_C,-35.36858069164001,-35.35371279686736,-31.950273900344925
Wifi_C,-43.947788157612365,-43.733378734093804,-40.32924687335699
Wifi_C,-43.36283237102097,-42.96492600136017,-38.93769359234875
Wifi_C,-39.679169172108544,-39.74561692958167,-35.415140431225694
Wifi_C,-42.97614340905585,-42.96730246711088,-38.93230901316774
Wifi_C,-43.60167671563706,-43.81417956733459,-37.50607148536005
Wifi_C,-49.37403928722557,-49.32941199977208,-42.42942713513652
Wifi_C,-45.6547142751974,-45.83735116606224,-41.04951189297501
Wifi_C,-45.40830967380332,-45.84313275450472,-29.254124584463995
Wifi_C,-42.40732609386826,-42.09020739899872,-39.81015793953725
Wifi_C,-46.69343778514809,-46.49653557970982,-42.46975684518055
Wifi_C,-46.15276608229326,-46.15116506733524,-41.52687516110783
Wifi_C,-39.98321419123361,-39.57575590756733,-33.67972684300627
Wifi_C,-41.5865599651931,-41.57388959059001,-38.42135568546243
Wifi_C,-49.57169524470413,-49.94085810363038,-44.602795329660815
Wifi_C,-46.11263771176244,-46.09970360718663,-42.72064357971561
Wifi_C,-37.42599219600473,-37.321367470151536,-34.60078927428966
Wifi_C,-40.48280494227079,-40.6189381834402,-37.09165912147977
Wifi_C,-43.64151856136349,-43.9118845084948,-40.05142156689003
Wifi_C,-42.96775808670081,-43.017757069678005,-38.55187159876984
Wifi_C,-39.109948802300416,-39.24178558373807,-35.31199577025386
Wifi_C,-43.91766661842962,-43.84646348090946,-39.65255166845987
Wifi_C,-33.61652560406967,-33.790437707625884,-29.370003407661347
Wifi_C,-39.57057789897599,-39.45763488542907,-36.64053332670019
Wifi_C,-44.85465205879001,-45.08134270137339,-38.0
Wifi_C,-43.35977768811792,-43.667673504686576,-34.0
Wifi_C,-47.01340263129622,-47.16622832599626,-42.119629378928856
Wifi_C,-42.90545367720479,-42.87991857387871,-39.0
Wifi_C,-32.48248114453135,-32.45018159941262,-28.488982693267754
Wifi_C,-30.767611355425,-30.64034316616833,-26.852508699251644
Wifi_C,-36.82932758581691,-36.85472207145677,-32.90447722875857
Wifi_C,-35.28329695659983,-35.57076106612797,-31.14714606069711
Wifi_C,-50.05444298481806,-50.43748041649218,-43.08694661889231
Wifi_C,-43.228202150845775,-43.29476226242099,-37.46786129324802
Wifi_C,-39.25486073214214,-39.04214590668373,-37.257756105391664
Wifi_C,-29.73124715075668,-29.50695779315476,-27.44344381132816
Wifi_C,-34.282601187444435,-34.455528714108866,-27.0
Wifi_C,-32.04435891505908,-31.87008162721359,-28.605531367649064
