Column,Mean,Median,Maximum
Wifi_C_5G,-49.58839412190225,-49.66402388694149,-45.62726516802688
Wifi_C_5G,-47.39154973925329,-47.22506857883975,-43.93945074549339
Wifi_C_5G,-51.1288200657021,-51.13442895785829,-47.81455281999794
Wifi_C_5G,-48.06751911022409,-47.92265183344133,-45.36419770288654
Wifi_C_5G,-47.86886931896807,-47.759098784549735,-44.72702148046587
Wifi_C_5G,-50.17413161587385,-50.09571651884882,-47.96074990522114
Wifi_C_5G,-48.50053901508038,-48.59886895370864,-44.82486630187768
Wifi_C_5G,-43.3127838304753,-43.275598000533776,-40.46235031400281
Wifi_C_5G,-49.51771242073264,-49.6389110889584,-46.9888644645026
Wifi_C_5G,-50.6062402935984,-50.14261571285172,-47.12265269981469
Wifi_C_5G,-47.17028433268334,-47.15443867648304,-44.1285701434252
Wifi_C_5G,-52.43252719845623,-52.44476094747036,-49.56916661636527
Wifi_C_5G,-53.77780597588588,-53.90693962690364,-51.1347414723003
Wifi_C_5G,-50.40956850084704,-50.5341458485903,-46.3615188799188
Wifi_C_5G,-50.43794241246464,-50.55976557899514,-47.02723304655412
Wifi_C_5G,-47.39902223547797,-47.090409037099406,-44.1565644652991
Wifi_C_5G,-53.154106831515136,-53.09220570467825,-50.0
Wifi_C_5G,-57.23324168962169,-57.51175110131715,-52.277582974883245
Wifi_C_5G,-49.50746932528918,-49.56535319716488,-46.05177918377554
Wifi_C_5G,-52.93411066026672,-53.133390081432594,-48.96080091419683
Wifi_C_5G,-43.63169119357829,-43.67822011970481,-39.798399955121816
Wifi_C_5G,-48.66016082938356,-48.91444312779015,-45.11391753071072
Wifi_C_5G,-54.82144978788197,-55.00948645292253,-49.67143883652915
Wifi_C_5G,-47.94405699310399,-47.8684367947025,-44.79662352267143
Wifi_C_5G,-48.86745928860468,-48.87966890315377,-45.61120583733312
Wifi_C_5G,-47.172671496438426,-47.120756047307296,-43.3956966045336
Wifi_C_5G,-40.96836765223471,-41.06722742325764,-37.54372907793272
Wifi_C_5G,-45.59548600542053,-45.48054426579286,-43.15312773867417
Wifi_C_5G,-52.98623154422651,-53.35627041396032,-44.595457950849095
Wifi_C_5G,-48.33530141917544,-48.05831683887074,-45.02454201077904
Wifi_C_5G,-47.73597302792441,-47.75870915214284,-44.475377677110615
Wifi_C_5G,-45.90599738210672,-45.96952255851391,-42.94573747129265
Wifi_C_5G,-41.24340689075472,-41.19654665994824,-38.85459105310438
Wifi_C_5G,-49.28351124049413,-49.47344663907975,-42.80332879810295
Wifi_C_5G,-50.79245349902717,-50.79992277222814,-46.89021979301364
Wifi_C_5G,-50.05432262448615,-50.11630821828752,-47.000458420131714
Wifi_C_5G,-48.75675214392996,-48.6463358379936,-45.84595583250319
Wifi_C_5G,-44.2585998435372,-44.05898374814643,-40.99594525471135
Wifi_C_5G,-44.53385737506329,-44.61082266093209,-41.577442685443216
Wifi_C_5G,-40.06185489207066,-40.37175348492802,-31.0
Wifi_C_5G,-39.491637533891605,-39.46598096184559,-35.6599277653654
