Column,Mean,Median,Maximum
Wifi_D,-46.154885350330325,-46.226362303078616,-41.43587667663452
Wifi_D,-42.15210552268773,-41.96858303949945,-38.06847695131051
Wifi_D,-33.78792968817118,-33.75421443064713,-30.38297175710625
Wifi_D,-37.49204232309821,-37.62542381692013,-34.36375756438079
Wifi_D,-48.0283142898888,-47.80974821432762,-43.93101490918978
Wifi_D,-46.65422293423984,-46.69011325815514,-43.89523833388779
Wifi_D,-51.070614606999726,-51.04040200698155,-43.74092591366767
Wifi_D,-43.95706257644193,-44.08143998982815,-40.55660760104581
Wifi_D,-41.86652935381565,-42.20217357463049,-36.72729063373061
Wifi_D,-43.516215964541765,-43.50420258299867,-41.45775646257047
Wifi_D,-44.51803243104867,-44.52880794743473,-40.0
Wifi_D,-45.22633431803735,-45.26972123714753,-42.186161008074045
Wifi_D,-44.52709018123867,-44.24122145616805,-40.935932678695934
Wifi_D,-36.78862103611293,-36.08899509476069,-32.24687636107136
Wifi_D,-44.3737338021002,-44.52508601491023,-40.51637618400472
Wifi_D,-44.05624070180525,-43.8994036885422,-40.43699872864194
Wifi_D,-41.86313386951535,-41.88666503292138,-38.83964675244891
Wifi_D,-42.51827728580857,-42.43724095890353,-38.81520205526736
Wifi_D,-34.30376953281445,-34.29382440034169,-31.726696523920683
Wifi_D,-42.910824876222925,-42.85410908171428,-37.51127653989104
Wifi_D,-43.94537525713037,-44.00770462144338,-40.40155163012162
Wifi_D,-39.82778571219934,-39.23170542409572,-36.77348421872889
Wifi_D,-47.97411389061709,-47.98260396233024,-43.36923382227563
Wifi_D,-42.15945062171597,-42.37160569664368,-38.744758139978586
Wifi_D,-39.46839343706073,-38.905780306836576,-32.987885309736285
Wifi_D,-42.96056681315807,-43.038196555609744,-39.77923361337788
Wifi_D,-40.52162766592266,-40.347853387851984,-36.76011164914216
Wifi_D,-37.95812712771121,-38.05664287027433,-33.74879995404189
Wifi_D,-42.50524252297789,-42.85316638527042,-36.457877852459255
Wifi_D,-40.01397168642567,-40.077322776178136,-37.50866338114351
Wifi_D,-39.417660197238064,-39.46291211181638,-34.71741394448575
Wifi_D,-38.77452877335436,-38.29272157675399,-32.78609546780355
Wifi_D,-38.48514464004199,-38.05010869352826,-34.1295081712331
Wifi_D,-35.366718584636764,-35.75361325934156,-31.28425299319337
Wifi_D,-41.61305491874962,-41.68378145394345,-38.0
Wifi_D,-27.33546101439218,-27.70320099060542,-23.12353081786835
Wifi_D,-37.49194440718796,-37.54864197609376,-34.22696658274549
Wifi_D,-41.411971358770685,-41.36142277025078,-34.555123258290166
Wifi_D,-37.20743133610426,-37.20354716982551,-32.74801577424784
Wifi_D,-39.85868176551806,-39.26860694426902,-35.64360839641788
Wifi_D,-34.209467421416164,-33.89967241093797,-30.3518525377679
