Column,Mean,Median,Maximum
Wifi_D_5G,-52.08257496097588,-52.17504008126654,-46.80905999821467
Wifi_D_5G,-47.22313702819777,-47.0050257387224,-43.0
Wifi_D_5G,-45.31146557287244,-45.51196699341981,-41.53868952970904
Wifi_D_5G,-46.20247684849659,-46.40337295767783,-43.04787453256391
Wifi_D_5G,-53.80002981523799,-53.82699266867328,-50.34205366119628
Wifi_D_5G,-46.45539672181288,-46.43094314446255,-43.510001610481815
Wifi_D_5G,-47.54562014661936,-47.5429237946871,-43.40157335429682
Wifi_D_5G,-50.20182932959653,-50.4381932273383,-45.78921991299248
Wifi_D_5G,-48.84183726153914,-48.73833675536686,-45.35004581790929
Wifi_D_5G,-51.458665996426106,-51.661550517682834,-48.40433875387636
Wifi_D_5G,-47.44218183357505,-47.1539928687947,-44.83389206948007
Wifi_D_5G,-54.56271529744862,-54.6049856130014,-49.2769882813879
Wifi_D_5G,-53.88722311527671,-53.95731448131114,-51.0
Wifi_D_5G,-45.7404643838371,-45.84388716909707,-42.624949322604266
Wifi_D_5G,-48.71555290828788,-48.73979465952448,-45.075265292230725
Wifi_D_5G,-47.84082402522902,-47.65745998530032,-45.31979069357642
Wifi_D_5G,-53.73322805771217,-53.80707268381454,-50.0
Wifi_D_5G,-45.363055183195705,-45.31954526476185,-42.1919074808436
Wifi_D_5G,-50.4761771401474,-50.361238119354574,-47.7450650969448
Wifi_D_5G,-44.75654979454017,-44.64271082273565,-41.0
Wifi_D_5G,-50.518810583967095,-50.56347656738375,-46.62063067454832
Wifi_D_5G,-43.56700381929993,-43.01404113504577,-39.14643415809461
Wifi_D_5G,-46.37435226753895,-46.07001502036715,-43.72972584931986
Wifi_D_5G,-52.755954374292806,-52.933130967581874,-48.44067259351141
Wifi_D_5G,-47.01674878149938,-46.61468088204704,-42.55678822391875
Wifi_D_5G,-46.36782846979394,-46.29083567774097,-42.488292631144965
Wifi_D_5G,-43.37052743927402,-43.450358501482114,-39.86452558569538
Wifi_D_5G,-46.2375423463624,-46.397339372524925,-42.138227450889296
Wifi_D_5G,-46.567982814933245,-46.493477280483006,-42.87367290809155
Wifi_D_5G,-44.37728783802309,-44.38160722827088,-40.52432878210574
Wifi_D_5G,-45.893148950553815,-45.8199789718883,-42.30404267871351
Wifi_D_5G,-42.0197634936726,-41.69288375190702,-37.0458545433824
Wifi_D_5G,-47.63036778488617,-47.55842744108944,-43.95609574920296
Wifi_D_5G,-48.57455092229377,-48.59033416395492,-45.70634191433498
Wifi_D_5G,-48.17154812012991,-47.759505344481234,-45.13402514085551
Wifi_D_5G,-37.69161864667668,-38.04479412173983,-32.0
Wifi_D_5G,-45.43218817140583,-45.41389573780336,-41.87534623712167
Wifi_D_5G,-49.343101170615206,-49.598213357652966,-44.85153800478466
Wifi_D_5G,-49.70162389109655,-49.73621578708972,-46.446118073044666
Wifi_D_5G,-50.09254757754947,-50.09859156988367,-44.15791415966143
Wifi_D_5G,-45.117133341533616,-45.039164772395324,-40.14027869635108
