Column,Mean,Median,Maximum
Wifi_A,-38.71428571428572,-38.0,-34
Wifi_A,-41.77619047619048,-42.0,-39
Wifi_A,-44.147619047619045,-44.0,-41
Wifi_A,-39.81428571428572,-40.0,-37
Wifi_A,-37.885714285714286,-38.0,-33
Wifi_A,-33.89047619047619,-34.0,-30
Wifi_A,-21.10952380952381,-21.0,-19
Wifi_A,-45.7047619047619,-45.0,-38
Wifi_A,-42.32380952380952,-42.0,-35
Wifi_A,-38.3,-38.0,-34
Wifi_A,-34.86666666666667,-35.0,-32
Wifi_A,-29.32857142857143,-29.0,-27
Wifi_A,-29.21904761904762,-29.0,-20
Wifi_A,-45.06190476190476,-44.0,-38
Wifi_A,-39.73809523809524,-39.0,-35
Wifi_A,-33.96666666666667,-34.0,-30
Wifi_A,-35.86190476190476,-36.0,-33
Wifi_A,-33.94761904761905,-34.0,-33
Wifi_A,-32.53333333333333,-32.0,-29
Wifi_A,-34.87619047619047,-35.0,-33
Wifi_A,-36.30952380952381,-36.0,-34
Wifi_A,-42.34761904761905,-42.0,-37
Wifi_A,-38.83809523809524,-38.0,-35
Wifi_A,-37.82380952380952,-38.0,-34
Wifi_A,-38.60476190476191,-39.0,-34
Wifi_A,-39.54285714285714,-40.0,-35
Wifi_A,-43.73809523809524,-43.0,-40
Wifi_A,-43.92857142857143,-43.0,-42
Wifi_A,-39.42380952380952,-39.0,-37
Wifi_A,-36.53809523809524,-36.0,-32
Wifi_A,-43.8,-44.0,-40
Wifi_A,-41.47619047619048,-41.0,-38
Wifi_A,-43.77619047619048,-44.0,-37
Wifi_A,-44.00476190476191,-44.0,-39
Wifi_A,-36.89047619047619,-37.0,-34
Wifi_A,-40.44285714285714,-40.0,-36
Wifi_A,-42.3,-42.0,-39
Wifi_A,-43.89523809523809,-44.0,-36
Wifi_A,-41.42380952380952,-41.0,-38
Wifi_A,-47.61904761904762,-48.0,-39
Wifi_A,-41.16666666666666,-41.0,-36
Wifi_A,-41.51904761904762,-42.0,-39
Wifi_A,-48.07142857142857,-48.0,-41
