Column,Mean,Median,Maximum
Wifi_A_5G,-46.27619047619048,-47.0,-31
Wifi_A_5G,-46.39523809523809,-46.0,-40
Wifi_A_5G,-50.319047619047616,-52.0,-42
Wifi_A_5G,-51.6,-52.0,-46
Wifi_A_5G,-48.804761904761904,-49.0,-42
Wifi_A_5G,-32.38095238095238,-32.0,-31
Wifi_A_5G,-34.94285714285714,-35.0,-34
Wifi_A_5G,-47.96666666666667,-47.0,-42
Wifi_A_5G,-40.55238095238095,-41.0,-36
Wifi_A_5G,-48.12857142857143,-48.0,-42
Wifi_A_5G,-39.833333333333336,-39.0,-38
Wifi_A_5G,-38.56666666666667,-39.0,-34
Wifi_A_5G,-37.93333333333333,-38.0,-36
Wifi_A_5G,-48.22380952380952,-48.0,-42
Wifi_A_5G,-51.82857142857143,-52.0,-45
Wifi_A_5G,-45.10476190476191,-45.0,-40
Wifi_A_5G,-44.42380952380952,-44.0,-40
Wifi_A_5G,-39.84761904761905,-40.0,-36
Wifi_A_5G,-35.233333333333334,-34.0,-33
Wifi_A_5G,-49.85238095238096,-50.0,-45
Wifi_A_5G,-49.90476190476191,-50.0,-47
Wifi_A_5G,-43.01904761904762,-43.0,-38
Wifi_A_5G,-52.63809523809524,-53.0,-49
Wifi_A_5G,-45.26190476190476,-44.0,-41
Wifi_A_5G,-48.69047619047619,-49.0,-40
Wifi_A_5G,-51.595238095238095,-52.0,-44
Wifi_A_5G,-46.91428571428571,-46.0,-41
Wifi_A_5G,-46.319047619047616,-46.0,-45
Wifi_A_5G,-50.82857142857143,-50.0,-49
Wifi_A_5G,-58.97619047619048,-59.0,-53
Wifi_A_5G,-43.51904761904762,-43.0,-41
Wifi_A_5G,-42.785714285714285,-43.0,-40
Wifi_A_5G,-50.39523809523809,-50.0,-46
Wifi_A_5G,-51.86190476190476,-52.0,-50
Wifi_A_5G,-56.1,-56.0,-51
Wifi_A_5G,-47.21428571428572,-47.0,-44
Wifi_A_5G,-50.23333333333333,-50.0,-47
Wifi_A_5G,-57.43809523809524,-59.0,-46
Wifi_A_5G,-52.77142857142857,-53.0,-45
Wifi_A_5G,-44.8,-45.0,-43
Wifi_A_5G,-48.23333333333333,-48.0,-45
Wifi_A_5G,-45.07619047619048,-45.0,-42
Wifi_A_5G,-52.7047619047619,-53.0,-49
