Column,Mean,Median,Maximum
Wifi_B,-25.63809523809524,-25.0,-20
Wifi_B,-25.25238095238096,-25.0,-21
Wifi_B,-31.2,-30.0,-26
Wifi_B,-31.919047619047618,-32.0,-29
Wifi_B,-31.2,-31.0,-27
Wifi_B,-33.51904761904762,-33.0,-29
Wifi_B,-38.17142857142857,-38.0,-35
Wifi_B,-29.05238095238096,-29.0,-26
Wifi_B,-35.63809523809524,-36.0,-32
Wifi_B,-35.147619047619045,-35.0,-31
Wifi_B,-38.43809523809524,-38.5,-33
Wifi_B,-30.723809523809525,-31.0,-26
Wifi_B,-42.04761904761905,-42.0,-39
Wifi_B,-36.2952380952381,-36.0,-33
Wifi_B,-36.41428571428571,-36.0,-33
Wifi_B,-38.90476190476191,-39.0,-32
Wifi_B,-39.27142857142857,-40.0,-34
Wifi_B,-51.67142857142857,-52.0,-44
Wifi_B,-38.114285714285714,-39.0,-29
Wifi_B,-37.114285714285714,-37.0,-27
Wifi_B,-38.23809523809524,-38.0,-25
Wifi_B,-40.17142857142857,-40.5,-37
Wifi_B,-46.819047619047616,-47.0,-40
Wifi_B,-36.71904761904762,-37.0,-32
Wifi_B,-38.095238095238095,-39.0,-34
Wifi_B,-45.60952380952381,-46.0,-38
Wifi_B,-38.7047619047619,-38.0,-33
Wifi_B,-48.88095238095238,-49.0,-41
Wifi_B,-39.8,-40.0,-34
Wifi_B,-39.114285714285714,-40.0,-33
Wifi_B,-38.661904761904765,-39.0,-35
Wifi_B,-41.47142857142857,-41.0,-38
Wifi_B,-42.02857142857143,-42.0,-37
Wifi_B,-44.22380952380952,-44.0,-40
Wifi_B,-49.86190476190476,-50.0,-44
Wifi_B,-41.00476190476191,-41.0,-37
Wifi_B,-44.55238095238095,-45.0,-38
Wifi_B,-39.89523809523809,-40.0,-36
Wifi_B,-45.957142857142856,-46.0,-36
Wifi_B,-45.38095238095238,-45.0,-42
Wifi_B,-39.266666666666666,-39.0,-36
Wifi_B,-47.79047619047619,-48.0,-40
Wifi_B,-48.61904761904762,-49.0,-43
