Column,Mean,Median,Maximum
Wifi_B_5G,-33.44285714285714,-33.0,-19
Wifi_B_5G,-49.45238095238095,-50.0,-39
Wifi_B_5G,-47.12380952380953,-47.0,-42
Wifi_B_5G,-51.304761904761904,-52.0,-47
Wifi_B_5G,-40.77142857142857,-41.0,-39
Wifi_B_5G,-47.385714285714286,-47.0,-44
Wifi_B_5G,-50.55238095238095,-50.5,-49
Wifi_B_5G,-37.11904761904762,-37.0,-33
Wifi_B_5G,-38.285714285714285,-38.0,-35
Wifi_B_5G,-44.56190476190476,-44.0,-39
Wifi_B_5G,-52.79047619047619,-53.0,-50
Wifi_B_5G,-49.17619047619048,-49.0,-44
Wifi_B_5G,-51.48095238095238,-51.0,-49
Wifi_B_5G,-49.67142857142857,-49.0,-42
Wifi_B_5G,-53.39047619047619,-54.0,-43
Wifi_B_5G,-49.93809523809524,-50.0,-46
Wifi_B_5G,-48.21428571428572,-48.0,-44
Wifi_B_5G,-51.37619047619047,-52.0,-46
Wifi_B_5G,-53.67142857142857,-54.0,-52
Wifi_B_5G,-45.86190476190476,-46.0,-40
Wifi_B_5G,-43.57619047619048,-43.0,-39
Wifi_B_5G,-42.70952380952381,-42.0,-38
Wifi_B_5G,-43.885714285714286,-44.0,-40
Wifi_B_5G,-49.319047619047616,-49.0,-48
Wifi_B_5G,-51.18571428571428,-52.0,-46
Wifi_B_5G,-49.75714285714286,-50.0,-43
Wifi_B_5G,-47.33809523809524,-47.0,-45
Wifi_B_5G,-55.33809523809524,-54.0,-52
Wifi_B_5G,-49.20952380952381,-49.0,-44
Wifi_B_5G,-40.180952380952384,-40.0,-37
Wifi_B_5G,-56.16666666666666,-56.0,-50
Wifi_B_5G,-51.8,-51.0,-48
Wifi_B_5G,-45.32380952380952,-45.0,-42
Wifi_B_5G,-55.76190476190476,-56.0,-49
Wifi_B_5G,-48.25714285714286,-48.0,-44
Wifi_B_5G,-50.75238095238095,-51.0,-47
Wifi_B_5G,-52.871428571428574,-53.0,-46
Wifi_B_5G,-43.15714285714286,-43.0,-41
Wifi_B_5G,-51.99523809523809,-52.0,-49
Wifi_B_5G,-45.10952380952381,-45.0,-43
Wifi_B_5G,-50.07619047619048,-50.0,-47
Wifi_B_5G,-44.48571428571429,-44.0,-43
Wifi_B_5G,-45.61904761904762,-45.0,-43
