Column,Mean,Median,Maximum
Wifi_C,-43.68571428571428,-44.0,-38
Wifi_C,-39.50952380952381,-39.0,-38
Wifi_C,-43.1,-43.0,-39
Wifi_C,-47.30952380952381,-46.0,-42
Wifi_C,-43.523809523809526,-43.0,-40
Wifi_C,-48.6,-48.0,-46
Wifi_C,-46.457142857142856,-46.0,-41
Wifi_C,-38.40476190476191,-38.0,-35
Wifi_C,-46.74761904761905,-47.0,-38
Wifi_C,-43.55238095238095,-44.0,-40
Wifi_C,-43.22380952380952,-43.0,-40
Wifi_C,-45.7,-45.0,-37
Wifi_C,-45.87619047619047,-45.0,-42
Wifi_C,-42.28095238095238,-42.0,-34
Wifi_C,-39.319047619047616,-40.0,-36
Wifi_C,-39.25714285714286,-39.0,-33
Wifi_C,-39.84761904761905,-40.0,-36
Wifi_C,-36.92380952380952,-36.0,-35
Wifi_C,-42.26190476190476,-43.0,-33
Wifi_C,-45.90476190476191,-46.0,-38
Wifi_C,-36.27619047619048,-36.0,-35
Wifi_C,-37.74761904761905,-38.0,-34
Wifi_C,-40.285714285714285,-40.0,-36
Wifi_C,-36.34285714285714,-36.0,-32
Wifi_C,-38.31428571428572,-38.0,-35
Wifi_C,-37.91904761904762,-38.0,-34
Wifi_C,-43.804761904761904,-44.0,-35
Wifi_C,-37.07619047619048,-37.0,-34
Wifi_C,-32.65714285714286,-33.0,-31
Wifi_C,-33.57619047619048,-33.0,-32
Wifi_C,-42.371428571428574,-43.0,-38
Wifi_C,-41.25714285714286,-41.0,-38
Wifi_C,-45.39523809523809,-45.0,-41
Wifi_C,-37.6,-38.0,-34
Wifi_C,-41.18571428571428,-41.0,-37
Wifi_C,-35.91428571428571,-36.0,-34
Wifi_C,-35.11904761904762,-35.0,-33
Wifi_C,-41.58571428571429,-42.0,-34
Wifi_C,-39.523809523809526,-40.0,-31
Wifi_C,-39.885714285714286,-40.0,-35
Wifi_C,-39.11904761904762,-39.0,-36
Wifi_C,-34.042857142857144,-34.0,-29
Wifi_C,-30.16190476190476,-30.0,-27
