Column,Mean,Median,Maximum
Wifi_D,-45.73333333333333,-45.0,-40
Wifi_D,-50.91904761904762,-51.0,-47
Wifi_D,-43.92380952380952,-44.0,-38
Wifi_D,-46.147619047619045,-46.0,-42
Wifi_D,-45.43333333333333,-45.0,-41
Wifi_D,-41.61904761904762,-42.0,-38
Wifi_D,-43.5,-43.0,-40
Wifi_D,-41.02857142857143,-41.0,-32
Wifi_D,-40.67619047619048,-41.0,-36
Wifi_D,-41.96666666666667,-42.0,-35
Wifi_D,-47.03333333333333,-47.0,-41
Wifi_D,-49.74285714285714,-50.0,-41
Wifi_D,-48.766666666666666,-49.0,-38
Wifi_D,-43.766666666666666,-44.0,-38
Wifi_D,-48.84285714285714,-48.0,-43
Wifi_D,-43.04761904761905,-43.0,-36
Wifi_D,-41.161904761904765,-42.0,-37
Wifi_D,-43.17619047619048,-43.0,-34
Wifi_D,-39.095238095238095,-39.0,-35
Wifi_D,-42.61904761904762,-43.0,-38
Wifi_D,-38.84761904761905,-39.0,-35
Wifi_D,-39.7047619047619,-39.0,-36
Wifi_D,-43.804761904761904,-45.0,-36
Wifi_D,-45.34285714285714,-46.0,-33
Wifi_D,-44.55238095238095,-44.0,-40
Wifi_D,-43.63333333333333,-44.0,-40
Wifi_D,-38.161904761904765,-38.0,-35
Wifi_D,-46.11904761904762,-46.0,-43
Wifi_D,-39.90476190476191,-40.0,-31
Wifi_D,-42.695238095238096,-42.5,-39
Wifi_D,-42.680952380952384,-43.0,-38
Wifi_D,-49.05238095238095,-49.0,-41
Wifi_D,-42.56190476190476,-43.0,-38
Wifi_D,-38.195238095238096,-38.0,-34
Wifi_D,-38.42380952380952,-38.0,-32
Wifi_D,-44.0,-44.0,-40
Wifi_D,-46.24761904761905,-46.0,-39
Wifi_D,-38.21428571428572,-38.0,-33
Wifi_D,-35.18571428571428,-34.0,-29
Wifi_D,-43.7,-44.0,-35
Wifi_D,-37.7047619047619,-38.0,-33
Wifi_D,-46.60952380952381,-46.5,-40
Wifi_D,-42.44285714285714,-43.0,-39
