Column,Mean,Median,Maximum
Wifi_D_5G,-48.78095238095238,-49.0,-44
Wifi_D_5G,-50.54761904761905,-50.0,-46
Wifi_D_5G,-50.33809523809524,-50.0,-43
Wifi_D_5G,-49.55714285714286,-49.0,-48
Wifi_D_5G,-50.095238095238095,-50.0,-47
Wifi_D_5G,-47.7047619047619,-48.0,-41
Wifi_D_5G,-49.54285714285714,-50.0,-44
Wifi_D_5G,-47.71428571428572,-48.0,-38
Wifi_D_5G,-57.21428571428572,-57.0,-48
Wifi_D_5G,-50.46666666666667,-50.0,-43
Wifi_D_5G,-61.15714285714286,-62.0,-52
Wifi_D_5G,-49.57142857142857,-49.0,-47
Wifi_D_5G,-52.09047619047619,-51.0,-43
Wifi_D_5G,-44.47619047619048,-44.0,-40
Wifi_D_5G,-54.71428571428572,-55.0,-47
Wifi_D_5G,-53.04761904761905,-53.0,-49
Wifi_D_5G,-43.70952380952381,-44.0,-41
Wifi_D_5G,-43.43333333333333,-44.0,-41
Wifi_D_5G,-51.74761904761905,-52.0,-48
Wifi_D_5G,-50.647619047619045,-51.0,-44
Wifi_D_5G,-48.04285714285714,-48.0,-40
Wifi_D_5G,-55.147619047619045,-55.0,-48
Wifi_D_5G,-42.00952380952381,-39.0,-38
Wifi_D_5G,-49.62857142857143,-50.0,-47
Wifi_D_5G,-48.12380952380953,-48.0,-44
Wifi_D_5G,-49.23333333333333,-49.0,-44
Wifi_D_5G,-46.17619047619048,-46.0,-41
Wifi_D_5G,-49.266666666666666,-49.0,-47
Wifi_D_5G,-47.51904761904762,-47.0,-46
Wifi_D_5G,-45.54285714285714,-46.0,-43
Wifi_D_5G,-55.65238095238095,-56.0,-47
Wifi_D_5G,-37.44761904761905,-38.0,-34
Wifi_D_5G,-45.91428571428571,-45.0,-41
Wifi_D_5G,-40.58571428571429,-40.0,-37
Wifi_D_5G,-45.957142857142856,-46.0,-43
Wifi_D_5G,-48.76190476190476,-48.0,-46
Wifi_D_5G,-42.69047619047619,-42.0,-39
Wifi_D_5G,-42.93809523809524,-43.0,-35
Wifi_D_5G,-36.38095238095238,-36.0,-34
Wifi_D_5G,-40.97142857142857,-40.0,-36
Wifi_D_5G,-44.23809523809524,-44.0,-42
Wifi_D_5G,-49.41428571428571,-50.0,-43
Wifi_D_5G,-49.68571428571428,-51.0,-35
