ID,RSSI,kalman_filtered_signal,gray_filtered_signal,fourier_filtered_signal
1,-41.0,-41.0,-41.0,-41.0
2,-41.0,-42.931953702040026,-39.44695493566636,-39.44695493566636
3,-37.0,-42.40700134235539,-39.22556529363029,-39.22556529363029
4,-40.0,-40.19778543123278,-39.00541816508304,-39.00541816508304
5,-36.0,-38.874965864867455,-38.786506576619026,-38.786506576619026
6,-39.0,-38.79125760059573,-38.568823593969746,-38.568823593969746
7,-39.0,-38.37197494416528,-38.35236232178416,-38.35236232178416
8,-38.0,-38.548450181645876,-38.1371159034103,-38.1371159034103
9,-39.0,-39.06113955203705,-39.0,-39.0
10,-39.0,-39.82478375472524,-39.57063270791135,-39.57063270791135
11,-40.0,-40.23199576356259,-39.499143417703515,-39.499143417703515
12,-38.0,-40.48472030395586,-39.42778328182718,-39.42778328182718
13,-42.0,-40.33936693976869,-39.356552066948915,-39.356552066948915
14,-38.0,-39.390702011223034,-39.28544954015683,-39.28544954015683
15,-39.0,-39.05570553721955,-39.21447546895983,-39.21447546895983
16,-39.0,-40.47264261318833,-39.14362962128685,-39.14362962128685
17,-38.0,-39.89597539559773,-38.0,-38.0
18,-39.0,-40.153336303559406,-40.858441750722406,-40.858441750722406
19,-44.0,-41.82412843142504,-40.89376975676049,-40.89376975676049
20,-40.0,-41.098804301026114,-40.92912830894661,-40.92912830894661
21,-40.0,-39.11134353679895,-40.964517433692336,-40.964517433692336
22,-43.0,-41.22660907225978,-40.999937157432015,-40.999937157432015
23,-40.0,-41.223201952311975,-41.035387506622904,-41.035387506622904
24,-41.0,-40.6712127182027,-41.07086850774512,-41.07086850774512
25,-40.0,-40.797392591086656,-40.0,-40.0
26,-40.0,-40.555749032654404,-39.1431583539994,-39.1431583539994
27,-39.0,-38.51987055408423,-39.32002485280966,-39.32002485280966
28,-40.0,-38.85570518171555,-39.49769051448048,-39.49769051448048
29,-39.0,-39.24097701587365,-39.67615894999122,-39.67615894999122
30,-39.0,-39.170212912940045,-39.855433786637285,-39.855433786637285
31,-42.0,-41.81154695472576,-40.03551866810385,-40.03551866810385
32,-40.0,-41.2668688324206,-40.21641725453988,-40.21641725453988
33,-42.0,-41.36143462389993,-42.0,-42.0
34,-41.0,-41.40256574697802,-41.668975269497125,-41.668975269497125
35,-40.0,-39.78066258989761,-41.23213297877725,-41.23213297877725
36,-41.0,-38.68888782376791,-40.79987038279974,-40.79987038279974
37,-41.0,-40.244797318831054,-40.37213946972055,-40.37213946972055
38,-40.0,-39.71032288846334,-39.94889273103424,-39.94889273103424
39,-38.0,-39.044967542826555,-39.530083156297174,-39.530083156297174
